region,district,value,month,indicator
Lower Shabelle,Marka,0.85,2015-01-01,cdi
Lower Shabelle,Afgooye,0.89,2015-01-01,cdi
Lower Shabelle,Baraawe,0.89,2015-01-01,cdi
Lower Shabelle,Kurtunwaarey,0.9,2015-01-01,cdi
Lower Shabelle,Qoryooley,0.91,2015-01-01,cdi
Lower Shabelle,Sablaale,0.87,2015-01-01,cdi
Lower Shabelle,Wanla Weyn,0.98,2015-01-01,cdi
Bay,Baydhaba,0.97,2015-01-01,cdi
Bay,Buur Hakaba,0.93,2015-01-01,cdi
Bay,Diinsoor,0.91,2015-01-01,cdi
Bay,Qansax Dheere,0.92,2015-01-01,cdi
Bakool,Xudur,0.64,2015-01-01,cdi
Bakool,Ceel Barde,1.1,2015-01-01,cdi
Bakool,Tayeeglow,0.97,2015-01-01,cdi
Bakool,Waajid,0.81,2015-01-01,cdi
Bakool,Rab Dhuure,0.74,2015-01-01,cdi
Lower Shabelle,Marka,0.55,2015-02-01,cdi
Lower Shabelle,Afgooye,0.53,2015-02-01,cdi
Lower Shabelle,Baraawe,0.53,2015-02-01,cdi
Lower Shabelle,Kurtunwaarey,0.56,2015-02-01,cdi
Lower Shabelle,Qoryooley,0.56,2015-02-01,cdi
Lower Shabelle,Sablaale,0.51,2015-02-01,cdi
Lower Shabelle,Wanla Weyn,0.73,2015-02-01,cdi
Bay,Baydhaba,0.66,2015-02-01,cdi
Bay,Buur Hakaba,0.61,2015-02-01,cdi
Bay,Diinsoor,0.57,2015-02-01,cdi
Bay,Qansax Dheere,0.61,2015-02-01,cdi
Bakool,Xudur,0.78,2015-02-01,cdi
Bakool,Ceel Barde,1.09,2015-02-01,cdi
Bakool,Tayeeglow,0.69,2015-02-01,cdi
Bakool,Waajid,0.79,2015-02-01,cdi
Bakool,Rab Dhuure,0.91,2015-02-01,cdi
Lower Shabelle,Marka,0.58,2015-03-01,cdi
Lower Shabelle,Afgooye,0.51,2015-03-01,cdi
Lower Shabelle,Baraawe,0.54,2015-03-01,cdi
Lower Shabelle,Kurtunwaarey,0.57,2015-03-01,cdi
Lower Shabelle,Qoryooley,0.56,2015-03-01,cdi
Lower Shabelle,Sablaale,0.55,2015-03-01,cdi
Lower Shabelle,Wanla Weyn,0.71,2015-03-01,cdi
Bay,Baydhaba,0.63,2015-03-01,cdi
Bay,Buur Hakaba,0.62,2015-03-01,cdi
Bay,Diinsoor,0.58,2015-03-01,cdi
Bay,Qansax Dheere,0.62,2015-03-01,cdi
Bakool,Xudur,1.0,2015-03-01,cdi
Bakool,Ceel Barde,1.23,2015-03-01,cdi
Bakool,Tayeeglow,0.74,2015-03-01,cdi
Bakool,Waajid,0.75,2015-03-01,cdi
Bakool,Rab Dhuure,1.09,2015-03-01,cdi
Lower Shabelle,Marka,1.11,2015-04-01,cdi
Lower Shabelle,Afgooye,1.07,2015-04-01,cdi
Lower Shabelle,Baraawe,1.13,2015-04-01,cdi
Lower Shabelle,Kurtunwaarey,1.17,2015-04-01,cdi
Lower Shabelle,Qoryooley,1.2,2015-04-01,cdi
Lower Shabelle,Sablaale,1.22,2015-04-01,cdi
Lower Shabelle,Wanla Weyn,1.19,2015-04-01,cdi
Bay,Baydhaba,1.31,2015-04-01,cdi
Bay,Buur Hakaba,1.26,2015-04-01,cdi
Bay,Diinsoor,1.2,2015-04-01,cdi
Bay,Qansax Dheere,1.22,2015-04-01,cdi
Bakool,Xudur,1.6,2015-04-01,cdi
Bakool,Ceel Barde,1.59,2015-04-01,cdi
Bakool,Tayeeglow,1.43,2015-04-01,cdi
Bakool,Waajid,1.3,2015-04-01,cdi
Bakool,Rab Dhuure,1.32,2015-04-01,cdi
Lower Shabelle,Marka,1.01,2015-05-01,cdi
Lower Shabelle,Afgooye,1.11,2015-05-01,cdi
Lower Shabelle,Baraawe,1.04,2015-05-01,cdi
Lower Shabelle,Kurtunwaarey,1.23,2015-05-01,cdi
Lower Shabelle,Qoryooley,1.23,2015-05-01,cdi
Lower Shabelle,Sablaale,1.26,2015-05-01,cdi
Lower Shabelle,Wanla Weyn,1.25,2015-05-01,cdi
Bay,Baydhaba,1.42,2015-05-01,cdi
Bay,Buur Hakaba,1.34,2015-05-01,cdi
Bay,Diinsoor,1.32,2015-05-01,cdi
