location,id,date,station_number,level__m
Bulo Burti,219922,19/11/2024,sh002,5.94
Bulo Burti,219915,18/11/2024,sh002,5.88
Bulo Burti,219908,17/11/2024,sh002,5.8
Bulo Burti,219901,16/11/2024,sh002,5.72
Bulo Burti,219894,15/11/2024,sh002,5.6
Bulo Burti,219887,14/11/2024,sh002,5.5
Bulo Burti,219880,13/11/2024,sh002,5.44
Bulo Burti,219873,12/11/2024,sh002,5.4
Bulo Burti,219866,11/11/2024,sh002,5.35
Bulo Burti,219859,10/11/2024,sh002,5.4
Bulo Burti,219852,9/11/2024,sh002,5.4
Bulo Burti,219845,8/11/2024,sh002,5.48
Bulo Burti,219838,7/11/2024,sh002,5.55
Bulo Burti,219831,6/11/2024,sh002,5.62
Bulo Burti,219824,5/11/2024,sh002,5.7
Bulo Burti,219817,4/11/2024,sh002,5.86
Bulo Burti,219810,3/11/2024,sh002,6
Bulo Burti,219803,2/11/2024,sh002,5.92
Bulo Burti,219796,1/11/2024,sh002,5.8
Bulo Burti,219789,31/10/2024,sh002,5.7
Bulo Burti,219782,30/10/2024,sh002,5.62
Bulo Burti,219775,29/10/2024,sh002,5.55
Bulo Burti,219742,28/10/2024,sh002,5.46
Bulo Burti,219735,27/10/2024,sh002,5.38
Bulo Burti,219728,26/10/2024,sh002,5.28
Bulo Burti,219721,25/10/2024,sh002,5.2
Bulo Burti,219714,24/10/2024,sh002,5.08
Bulo Burti,219707,23/10/2024,sh002,5
Bulo Burti,219700,22/10/2024,sh002,5.06
Bulo Burti,219693,21/10/2024,sh002,5.12
Bulo Burti,219686,20/10/2024,sh002,5.2
Bulo Burti,219679,19/10/2024,sh002,5.28
Bulo Burti,219672,18/10/2024,sh002,5.35
Bulo Burti,219665,17/10/2024,sh002,5.44
Bulo Burti,219658,16/10/2024,sh002,5.52
Bulo Burti,219651,15/10/2024,sh002,5.6
Bulo Burti,219644,14/10/2024,sh002,5.7
Bulo Burti,219637,13/10/2024,sh002,5.8
Bulo Burti,219630,12/10/2024,sh002,5.88
Bulo Burti,219623,11/10/2024,sh002,5.95
Bulo Burti,219616,10/10/2024,sh002,6.08
Bulo Burti,219609,9/10/2024,sh002,6.2
Bulo Burti,219602,8/10/2024,sh002,6.3
Bulo Burti,219595,7/10/2024,sh002,6.42
Bulo Burti,219588,6/10/2024,sh002,6.66
Bulo Burti,219581,5/10/2024,sh002,6.9
Bulo Burti,219574,4/10/2024,sh002,7.15
Bulo Burti,219567,3/10/2024,sh002,7.3
Bulo Burti,219560,2/10/2024,sh002,7.42
Bulo Burti,219553,1/10/2024,sh002,7.5
Bulo Burti,219546,30/09/2024,sh002,7.6
Bulo Burti,219539,29/09/2024,sh002,7.64
Bulo Burti,219532,28/09/2024,sh002,7.64
Bulo Burti,219525,27/09/2024,sh002,7.64
Bulo Burti,219518,26/09/2024,sh002,7.6
Bulo Burti,219511,25/09/2024,sh002,7.56
Bulo Burti,219504,24/09/2024,sh002,7.5
Bulo Burti,219497,23/09/2024,sh002,7.44
Bulo Burti,219490,22/09/2024,sh002,7.44
Bulo Burti,219483,21/09/2024,sh002,7.4
Bulo Burti,219476,20/09/2024,sh002,7.35
Bulo Burti,219469,19/09/2024,sh002,7.3
Bulo Burti,219462,18/09/2024,sh002,7.3
Bulo Burti,219455,17/09/2024,sh002,7.24
Bulo Burti,219448,16/09/2024,sh002,7.18
Bulo Burti,219441,15/09/2024,sh002,7.12
Bulo Burti,219434,14/09/2024,sh002,7.06
Bulo Burti,219427,13/09/2024,sh002,7
Bulo Burti,219420,12/9/2024,sh002,6.95
Bulo Burti,219413,11/9/2024,sh002,6.88
Bulo Burti,219406,10/9/2024,sh002,6.82
Bulo Burti,219399,9/9/2024,sh002,6.9
Bulo Burti,219392,8/9/2024,sh002,7
Bulo Burti,219385,7/9/2024,sh002,7.12
Bulo Burti,219378,6/9/2024,sh002,7.2
Bulo Burti,219371,5/9/2024,sh002,7.2
Bulo Burti,219364,4/9/2024,sh002,7.15
Bulo Burti,219357,3/9/2024,sh002,7.1
Bulo Burti,219350,2/9/2024,sh002,7.08
Bulo Burti,219343,1/9/2024,sh002,7
Bulo Burti,219336,31/08/2024,sh002,6.9
Bulo Burti,219329,30/08/2024,sh002,6.85
Bulo Burti,219322,29/08/2024,sh002,6.8
Bulo Burti,219315,28/08/2024,sh002,6.75
Bulo Burti,219308,27/08/2024,sh002,6.7
Bulo Burti,219301,26/08/2024,sh002,6.65
Bulo Burti,219294,25/08/2024,sh002,6.6
Bulo Burti,219287,24/08/2024,sh002,6.52
Bulo Burti,219280,23/08/2024,sh002,6.45
Bulo Burti,219273,22/08/2024,sh002,6.38
Bulo Burti,219266,21/08/2024,sh002,6.3
Bulo Burti,219259,20/08/2024,sh002,6.2
Bulo Burti,219252,19/08/2024,sh002,6.11
Bulo Burti,219245,18/08/2024,sh002,6
Bulo Burti,219238,17/08/2024,sh002,5.9
Bulo Burti,219231,16/08/2024,sh002,5.84
Bulo Burti,219224,15/08/2024,sh002,5.77
Bulo Burti,219217,14/08/2024,sh002,5.66
Bulo Burti,219210,13/08/2024,sh002,5.56
Bulo Burti,219203,12/8/2024,sh002,5.45
Bulo Burti,219196,11/8/2024,sh002,5.33
Bulo Burti,219189,10/8/2024,sh002,5.2
Bulo Burti,219182,9/8/2024,sh002,5.08
Bulo Burti,219175,8/8/2024,sh002,4.95
Bulo Burti,219168,7/8/2024,sh002,4.8
Bulo Burti,219161,6/8/2024,sh002,4.67
Bulo Burti,219154,5/8/2024,sh002,4.55
Bulo Burti,219147,4/8/2024,sh002,4.44
Bulo Burti,219140,3/8/2024,sh002,4.35
Bulo Burti,219133,2/8/2024,sh002,4.25
