,date,location,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max
0,2024-11-18 21:00:00+00:00,Belet Weyne,34.898502,25.1485,0.2,0,1,33,20.780453
1,2024-11-19 21:00:00+00:00,Belet Weyne,35.898502,23.0485,0,0,0,10,18.374111
2,2024-11-20 21:00:00+00:00,Belet Weyne,35.598503,24.0485,0,0,0,5,18.864824
3,2024-11-21 21:00:00+00:00,Belet Weyne,33.2485,25.0485,1.4,0,5,48,19.008545
4,2024-11-22 21:00:00+00:00,Belet Weyne,34.7485,24.6485,0,0,0,36,18.681883
5,2024-11-23 21:00:00+00:00,Belet Weyne,35.7985,23.3985,0,0,0,4,17.974781
6,2024-11-24 21:00:00+00:00,Belet Weyne,34.9485,23.8485,0,0,0,2,11.720751
0,2024-11-18 21:00:00+00:00,Bulo Burti,34.962498,25.1625,0,0,0,33,22.86496
1,2024-11-19 21:00:00+00:00,Bulo Burti,35.8625,23.8125,0,0,0,3,23.740902
2,2024-11-20 21:00:00+00:00,Bulo Burti,35.1125,23.4125,0,0,0,0,23.051247
3,2024-11-21 21:00:00+00:00,Bulo Burti,34.0625,24.0625,2.2999997,0,8,40,16.78156
4,2024-11-22 21:00:00+00:00,Bulo Burti,33.762497,24.9625,0.1,0,1,24,21.38897
5,2024-11-23 21:00:00+00:00,Bulo Burti,34.9125,22.7125,0,0,0,3,20.12461
6,2024-11-24 21:00:00+00:00,Bulo Burti,34.3125,24.4625,0,0,0,3,17.0763
