station_number,station_name,river_name,region,status,first_date,latitude,longitude,moderate_flood_risk_m,high_flood_risk_m,bankfull_m,maximum_depth_m,maximum_width_m,maximum_flow_m,elevation
JB001,Luuq,Juba,Gedo,Functional,"Jan. 1, 1951",3.79172,42.54264,5.5,6.0,7.0,9.0,140.0,1800.0,140
JB009,Dollow,Juba,Gedo,Functional,"Jan. 1, 2015",4.18777,42.079382,4.5,5.0,6.0,-,-,-,177
JB002,Bardheere,Juba,Gedo,Non Functional,"Jan. 1, 1963",2.33989,42.28115,7.4,8.2,10.4,8.0,100.0,1800.0,87
JB004,Kaitoi,Juba,,Non Functional,"Jan. 1, 1963",0.783333,42.66667,-,-,-,-,-,-,34
JB010,Bualle,Juba,Middle Juba,Non Functional,"Jan. 1, 2008",1.24477,42.57317,9.0,10.0,12.0,-,-,-,51
SH001,Belet Weyne,Shabelle,Hiiraan,Functional,"Jan. 1, 1963",4.73598,45.20596,6.5,7.3,8.3,7.0,44.0,500.0,182
SH002,Bulo Burti,Shabelle,Hiiraan,Functional,"Jan. 1, 1963",3.85702,45.56727,6.5,7.2,8.0,8.0,42.0,-,133
SH004,Jowhar,Shabelle,Middle Shebelle,Functional,"Jan. 1, 1999",2.77872,45.50486,5.0,5.25,5.5,5.5,33.0,-,105
SH003,Mahadey Weyne,Shabelle,,Non Functional,"Jan. 1, 1963",2.97098,45.53038,-,-,-,-,32.0,-,115
SH006,Afgoi,Shabelle,,Non Functional,"Jan. 1, 1963",2.144444,45.124999,-,-,-,6.0,30.0,-,84
SH007,Audegle,Shabelle,,Non Functional,"Jan. 1, 1963",1.986111,44.833333,-,-,-,-,25.0,-,76
