,date,station_id,station_name,station_latitude,station_longitude,forecast_latitude,forecast_longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max
0,2024-11-12 21:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.293999,24.644,7.2000003,0.0,8.0,80.0,9.449572
1,2024-11-13 21:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.593998,24.844,0.4,0.0,4.0,50.0,11.384198
2,2024-11-14 21:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,33.444,25.144,0.1,0.0,1.0,8.0,12.397806
3,2024-11-15 21:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,33.494,25.043999,0.0,0.0,0.0,5.0,11.019764
4,2024-11-16 21:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,34.244,23.644,0.0,0.0,0.0,3.0,10.009036
5,2024-11-17 21:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.394,24.043999,1.7,0.0,5.0,10.0,12.496719
6,2024-11-18 21:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.994,25.144,3.0999997,0.0,7.0,31.0,11.435313
7,2024-11-12 21:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,29.248499,24.1985,7.2999997,0.0,12.0,73.0,16.071491
8,2024-11-13 21:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,33.2985,22.998499,1.7,0.0,4.0,58.0,13.891522
9,2024-11-14 21:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,34.9985,22.748499,0.0,0.0,0.0,0.0,22.476227
10,2024-11-15 21:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,35.898502,21.3485,0.0,0.0,0.0,0.0,15.778518
11,2024-11-16 21:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,35.898502,23.748499,0.0,0.0,0.0,9.0,19.453327
12,2024-11-17 21:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,33.7985,25.5985,8.3,0.0,14.0,15.0,19.881649
13,2024-11-18 21:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,34.1985,24.4485,0.7,0.0,1.0,18.0,18.388212
14,2024-11-12 21:00:00+00:00,3,Bualle,1.2536051,42.5681412,1.25,42.625,33.389,24.989,14.0,0.0,10.0,63.0,10.630672
15,2024-11-13 21:00:00+00:00,3,Bualle,1.2536051,42.5681412,1.25,42.625,31.989,24.239,0.70000005,0.0,4.0,67.0,16.135872
16,2024-11-14 21:00:00+00:00,3,Bualle,1.2536051,42.5681412,1.25,42.625,33.239002,24.489,0.0,0.0,0.0,10.0,15.1884165
17,2024-11-15 21:00:00+00:00,3,Bualle,1.2536051,42.5681412,1.25,42.625,33.539,24.439,0.0,0.0,0.0,5.0,13.551501
18,2024-11-16 21:00:00+00:00,3,Bualle,1.2536051,42.5681412,1.25,42.625,34.389,23.239,0.0,0.0,0.0,5.0,12.594856
19,2024-11-17 21:00:00+00:00,3,Bualle,1.2536051,42.5681412,1.25,42.625,33.439003,23.439,0.3,0.0,3.0,11.0,13.441071
20,2024-11-18 21:00:00+00:00,3,Bualle,1.2536051,42.5681412,1.25,42.625,34.089,24.639,0.9000001,0.0,9.0,39.0,15.315873
21,2024-11-12 21:00:00+00:00,5,Bulo Burti,3.85,45.5667,3.875,45.625,31.862501,24.9125,2.8,0.0,9.0,68.0,14.512064
22,2024-11-13 21:00:00+00:00,5,Bulo Burti,3.85,45.5667,3.875,45.625,31.9125,24.612501,0.5,0.0,5.0,23.0,15.696165
23,2024-11-14 21:00:00+00:00,5,Bulo Burti,3.85,45.5667,3.875,45.625,35.6125,23.7625,0.0,0.0,0.0,0.0,18.844202
24,2024-11-15 21:00:00+00:00,5,Bulo Burti,3.85,45.5667,3.875,45.625,35.3125,23.612501,0.0,0.0,0.0,0.0,15.937878
25,2024-11-16 21:00:00+00:00,5,Bulo Burti,3.85,45.5667,3.875,45.625,35.512497,23.612501,0.0,0.0,0.0,8.0,20.08916
26,2024-11-17 21:00:00+00:00,5,Bulo Burti,3.85,45.5667,3.875,45.625,34.8125,25.6625,10.500001,0.0,14.0,9.0,19.296135
27,2024-11-18 21:00:00+00:00,5,Bulo Burti,3.85,45.5667,3.875,45.625,33.1125,24.1625,0.6,0.0,1.0,10.0,20.304129
28,2024-11-12 21:00:00+00:00,2,Dollow,4.1648797,42.0738435,4.125,42.125,31.134499,24.5345,11.3,0.0,9.0,75.0,15.256526
29,2024-11-13 21:00:00+00:00,2,Dollow,4.1648797,42.0738435,4.125,42.125,33.6345,24.1845,0.1,0.0,1.0,33.0,11.212135
30,2024-11-14 21:00:00+00:00,2,Dollow,4.1648797,42.0738435,4.125,42.125,32.6345,23.4345,0.5,0.0,3.0,39.0,15.941944
31,2024-11-15 21:00:00+00:00,2,Dollow,4.1648797,42.0738435,4.125,42.125,35.2845,20.5845,0.0,0.0,0.0,3.0,14.565548
32,2024-11-16 21:00:00+00:00,2,Dollow,4.1648797,42.0738435,4.125,42.125,35.434498,20.634499,0.0,0.0,0.0,0.0,10.931203
33,2024-11-17 21:00:00+00:00,2,Dollow,4.1648797,42.0738435,4.125,42.125,31.3345,23.9345,1.2,0.0,9.0,13.0,16.595179
34,2024-11-18 21:00:00+00:00,2,Dollow,4.1648797,42.0738435,4.125,42.125,33.934498,24.484499,0.6,0.0,6.0,48.0,12.538134
35,2024-11-12 21:00:00+00:00,6,Jowhar,2.78,45.5,2.75,45.5,31.1805,24.4805,19.9,0.0,13.0,78.0,10.829959
36,2024-11-13 21:00:00+00:00,6,Jowhar,2.78,45.5,2.75,45.5,30.1805,24.1805,17.7,0.0,10.0,45.0,13.363711
37,2024-11-14 21:00:00+00:00,6,Jowhar,2.78,45.5,2.75,45.5,31.8305,23.6805,0.0,0.0,0.0,3.0,17.884428
38,2024-11-15 21:00:00+00:00,6,Jowhar,2.78,45.5,2.75,45.5,32.4305,23.130499,0.0,0.0,0.0,3.0,16.92383
39,2024-11-16 21:00:00+00:00,6,Jowhar,2.78,45.5,2.75,45.5,31.880499,22.5805,0.3,0.0,3.0,13.0,13.70839
40,2024-11-17 21:00:00+00:00,6,Jowhar,2.78,45.5,2.75,45.5,30.8305,24.3305,8.4,0.0,12.0,15.0,14.689588
41,2024-11-18 21:00:00+00:00,6,Jowhar,2.78,45.5,2.75,45.5,32.6805,23.380499,0.0,0.0,0.0,22.0,19.022177
42,2024-11-12 21:00:00+00:00,1,Luuq,3.8,42.55,3.75,42.5,30.689999,24.74,8.700001,0.0,11.0,78.0,13.722565
43,2024-11-13 21:00:00+00:00,1,Luuq,3.8,42.55,3.75,42.5,33.54,24.14,0.0,0.0,0.0,48.0,11.720751
44,2024-11-14 21:00:00+00:00,1,Luuq,3.8,42.55,3.75,42.5,33.04,24.14,0.70000005,0.0,5.0,25.0,15.7908325
45,2024-11-15 21:00:00+00:00,1,Luuq,3.8,42.55,3.75,42.5,34.84,21.84,0.0,0.0,0.0,5.0,13.551501
