region,district,value,month,indicator
Lower Shabelle,Marka,37.731,2001-07-01,rainfall
Lower Shabelle,Afgooye,40.625,2001-07-01,rainfall
Lower Shabelle,Baraawe,42.578,2001-07-01,rainfall
Lower Shabelle,Kurtunwaarey,37.91,2001-07-01,rainfall
Lower Shabelle,Qoryooley,33.631,2001-07-01,rainfall
Lower Shabelle,Sablaale,42.829,2001-07-01,rainfall
Lower Shabelle,Wanla Weyn,20.621,2001-07-01,rainfall
Bay,Baydhaba,21.262,2001-07-01,rainfall
Bay,Buur Hakaba,26.912,2001-07-01,rainfall
Bay,Diinsoor,21.423,2001-07-01,rainfall
Bay,Qansax Dheere,13.882,2001-07-01,rainfall
Bakool,Xudur,11.21,2001-07-01,rainfall
Bakool,Ceel Barde,10.73,2001-07-01,rainfall
Bakool,Tayeeglow,40.742,2001-07-01,rainfall
Bakool,Waajid,9.81,2001-07-01,rainfall
Bakool,Rab Dhuure,1.445,2001-07-01,rainfall
Lower Shabelle,Marka,27.7,2001-08-01,rainfall
Lower Shabelle,Afgooye,11.571,2001-08-01,rainfall
Lower Shabelle,Baraawe,28.165,2001-08-01,rainfall
Lower Shabelle,Kurtunwaarey,19.083,2001-08-01,rainfall
Lower Shabelle,Qoryooley,23.38,2001-08-01,rainfall
Lower Shabelle,Sablaale,18.855,2001-08-01,rainfall
Lower Shabelle,Wanla Weyn,5.089,2001-08-01,rainfall
Bay,Baydhaba,13.914,2001-08-01,rainfall
Bay,Buur Hakaba,14.02,2001-08-01,rainfall
Bay,Diinsoor,11.128,2001-08-01,rainfall
Bay,Qansax Dheere,8.189,2001-08-01,rainfall
Bakool,Xudur,8.505,2001-08-01,rainfall
Bakool,Ceel Barde,11.407,2001-08-01,rainfall
Bakool,Tayeeglow,16.926,2001-08-01,rainfall
Bakool,Waajid,7.703,2001-08-01,rainfall
Bakool,Rab Dhuure,2.529,2001-08-01,rainfall
Lower Shabelle,Marka,6.642,2001-09-01,rainfall
Lower Shabelle,Afgooye,5.41,2001-09-01,rainfall
Lower Shabelle,Baraawe,11.581,2001-09-01,rainfall
Lower Shabelle,Kurtunwaarey,9.958,2001-09-01,rainfall
Lower Shabelle,Qoryooley,7.59,2001-09-01,rainfall
Lower Shabelle,Sablaale,14.243,2001-09-01,rainfall
Lower Shabelle,Wanla Weyn,4.459,2001-09-01,rainfall
Bay,Baydhaba,5.723,2001-09-01,rainfall
Bay,Buur Hakaba,8.667,2001-09-01,rainfall
Bay,Diinsoor,9.067,2001-09-01,rainfall
Bay,Qansax Dheere,3.469,2001-09-01,rainfall
Bakool,Xudur,13.454,2001-09-01,rainfall
Bakool,Ceel Barde,8.828,2001-09-01,rainfall
Bakool,Tayeeglow,7.014,2001-09-01,rainfall
Bakool,Waajid,7.121,2001-09-01,rainfall
Bakool,Rab Dhuure,5.375,2001-09-01,rainfall
Lower Shabelle,Marka,23.69,2001-10-01,rainfall
Lower Shabelle,Afgooye,58.342,2001-10-01,rainfall
Lower Shabelle,Baraawe,31.14,2001-10-01,rainfall
Lower Shabelle,Kurtunwaarey,57.556,2001-10-01,rainfall
Lower Shabelle,Qoryooley,51.507,2001-10-01,rainfall
Lower Shabelle,Sablaale,63.218,2001-10-01,rainfall
Lower Shabelle,Wanla Weyn,82.983,2001-10-01,rainfall
Bay,Baydhaba,71.713,2001-10-01,rainfall
Bay,Buur Hakaba,61.544,2001-10-01,rainfall
Bay,Diinsoor,36.094,2001-10-01,rainfall
Bay,Qansax Dheere,34.972,2001-10-01,rainfall
Bakool,Xudur,81.158,2001-10-01,rainfall
Bakool,Ceel Barde,77.233,2001-10-01,rainfall
Bakool,Tayeeglow,67.109,2001-10-01,rainfall
Bakool,Waajid,77.511,2001-10-01,rainfall
Bakool,Rab Dhuure,73.366,2001-10-01,rainfall
Lower Shabelle,Marka,35.471,2001-11-01,rainfall
Lower Shabelle,Afgooye,62.33,2001-11-01,rainfall
Lower Shabelle,Baraawe,32.511,2001-11-01,rainfall
Lower Shabelle,Kurtunwaarey,59.993,2001-11-01,rainfall
Lower Shabelle,Qoryooley,52.59,2001-11-01,rainfall
Lower Shabelle,Sablaale,73.571,2001-11-01,rainfall
Lower Shabelle,Wanla Weyn,46.399,2001-11-01,rainfall
Bay,Baydhaba,30.079,2001-11-01,rainfall
Bay,Buur Hakaba,45.591,2001-11-01,rainfall
Bay,Diinsoor,67.753,2001-11-01,rainfall
Bay,Qansax Dheere,33.069,2001-11-01,rainfall
Bakool,Xudur,6.167,2001-11-01,rainfall
Bakool,Ceel Barde,5.672,2001-11-01,rainfall
Bakool,Tayeeglow,18.575,2001-11-01,rainfall
Bakool,Waajid,15.848,2001-11-01,rainfall
Bakool,Rab Dhuure,9.06,2001-11-01,rainfall
Lower Shabelle,Marka,4.613,2001-12-01,rainfall
Lower Shabelle,Afgooye,17.374,2001-12-01,rainfall
Lower Shabelle,Baraawe,5.87,2001-12-01,rainfall
Lower Shabelle,Kurtunwaarey,6.451,2001-12-01,rainfall
Lower Shabelle,Qoryooley,6.006,2001-12-01,rainfall
Lower Shabelle,Sablaale,12.892,2001-12-01,rainfall
Lower Shabelle,Wanla Weyn,11.134,2001-12-01,rainfall
Bay,Baydhaba,4.748,2001-12-01,rainfall
Bay,Buur Hakaba,10.834,2001-12-01,rainfall
Bay,Diinsoor,16.967,2001-12-01,rainfall
Bay,Qansax Dheere,13.505,2001-12-01,rainfall
Bakool,Xudur,0.982,2001-12-01,rainfall
Bakool,Ceel Barde,0.707,2001-12-01,rainfall
Bakool,Tayeeglow,3.552,2001-12-01,rainfall
Bakool,Waajid,2.314,2001-12-01,rainfall
Bakool,Rab Dhuure,1.324,2001-12-01,rainfall
Lower Shabelle,Marka,0.731,2002-01-01,rainfall
Lower Shabelle,Afgooye,1.271,2002-01-01,rainfall
Lower Shabelle,Baraawe,0.355,2002-01-01,rainfall
Lower Shabelle,Kurtunwaarey,0.589,2002-01-01,rainfall
Lower Shabelle,Qoryooley,0.709,2002-01-01,rainfall
Lower Shabelle,Sablaale,0.588,2002-01-01,rainfall
Lower Shabelle,Wanla Weyn,1.882,2002-01-01,rainfall
Bay,Baydhaba,1.204,2002-01-01,rainfall
Bay,Buur Hakaba,0.836,2002-01-01,rainfall
Bay,Diinsoor,0.775,2002-01-01,rainfall
Bay,Qansax Dheere,1.376,2002-01-01,rainfall
Bakool,Xudur,0.481,2002-01-01,rainfall
Bakool,Ceel Barde,0.733,2002-01-01,rainfall
Bakool,Tayeeglow,0.708,2002-01-01,rainfall
Bakool,Waajid,0.514,2002-01-01,rainfall
Bakool,Rab Dhuure,0.332,2002-01-01,rainfall
Lower Shabelle,Marka,0.252,2002-02-01,rainfall
Lower Shabelle,Afgooye,0.762,2002-02-01,rainfall
Lower Shabelle,Baraawe,0.389,2002-02-01,rainfall
Lower Shabelle,Kurtunwaarey,0.694,2002-02-01,rainfall
Lower Shabelle,Qoryooley,0.553,2002-02-01,rainfall
Lower Shabelle,Sablaale,0.903,2002-02-01,rainfall
Lower Shabelle,Wanla Weyn,1.065,2002-02-01,rainfall
Bay,Baydhaba,1.014,2002-02-01,rainfall
Bay,Buur Hakaba,1.101,2002-02-01,rainfall
Bay,Diinsoor,1.303,2002-02-01,rainfall
Bay,Qansax Dheere,1.2,2002-02-01,rainfall
Bakool,Xudur,0.59,2002-02-01,rainfall
Bakool,Ceel Barde,1.167,2002-02-01,rainfall
Bakool,Tayeeglow,0.648,2002-02-01,rainfall
Bakool,Waajid,0.876,2002-02-01,rainfall
Bakool,Rab Dhuure,0.884,2002-02-01,rainfall
Lower Shabelle,Marka,2.802,2002-03-01,rainfall
Lower Shabelle,Afgooye,3.466,2002-03-01,rainfall
Lower Shabelle,Baraawe,2.403,2002-03-01,rainfall
Lower Shabelle,Kurtunwaarey,4.013,2002-03-01,rainfall
Lower Shabelle,Qoryooley,3.163,2002-03-01,rainfall
Lower Shabelle,Sablaale,4.59,2002-03-01,rainfall
Lower Shabelle,Wanla Weyn,9.731,2002-03-01,rainfall
Bay,Baydhaba,24.957,2002-03-01,rainfall
Bay,Buur Hakaba,12.312,2002-03-01,rainfall
Bay,Diinsoor,28.52,2002-03-01,rainfall
Bay,Qansax Dheere,33.332,2002-03-01,rainfall
Bakool,Xudur,5.08,2002-03-01,rainfall
Bakool,Ceel Barde,6.3,2002-03-01,rainfall
Bakool,Tayeeglow,5.782,2002-03-01,rainfall
Bakool,Waajid,21.856,2002-03-01,rainfall
Bakool,Rab Dhuure,18.527,2002-03-01,rainfall
Lower Shabelle,Marka,114.113,2002-04-01,rainfall
Lower Shabelle,Afgooye,129.301,2002-04-01,rainfall
Lower Shabelle,Baraawe,141.675,2002-04-01,rainfall
Lower Shabelle,Kurtunwaarey,183.533,2002-04-01,rainfall
Lower Shabelle,Qoryooley,164.9,2002-04-01,rainfall
Lower Shabelle,Sablaale,207.219,2002-04-01,rainfall
Lower Shabelle,Wanla Weyn,128.216,2002-04-01,rainfall
Bay,Baydhaba,227.345,2002-04-01,rainfall
Bay,Buur Hakaba,200.512,2002-04-01,rainfall
Bay,Diinsoor,207.929,2002-04-01,rainfall
Bay,Qansax Dheere,226.675,2002-04-01,rainfall
Bakool,Xudur,161.034,2002-04-01,rainfall
Bakool,Ceel Barde,132.96,2002-04-01,rainfall
Bakool,Tayeeglow,131.373,2002-04-01,rainfall
Bakool,Waajid,243.089,2002-04-01,rainfall
Bakool,Rab Dhuure,226.936,2002-04-01,rainfall
Lower Shabelle,Marka,43.718,2002-05-01,rainfall
Lower Shabelle,Afgooye,49.938,2002-05-01,rainfall
Lower Shabelle,Baraawe,34.556,2002-05-01,rainfall
Lower Shabelle,Kurtunwaarey,47.558,2002-05-01,rainfall
Lower Shabelle,Qoryooley,51.721,2002-05-01,rainfall
Lower Shabelle,Sablaale,60.728,2002-05-01,rainfall
Lower Shabelle,Wanla Weyn,20.63,2002-05-01,rainfall
Bay,Baydhaba,26.372,2002-05-01,rainfall
Bay,Buur Hakaba,41.195,2002-05-01,rainfall
Bay,Diinsoor,54.141,2002-05-01,rainfall
Bay,Qansax Dheere,24.451,2002-05-01,rainfall
Bakool,Xudur,20.381,2002-05-01,rainfall
Bakool,Ceel Barde,19.149,2002-05-01,rainfall
Bakool,Tayeeglow,15.846,2002-05-01,rainfall
Bakool,Waajid,18.682,2002-05-01,rainfall
Bakool,Rab Dhuure,15.817,2002-05-01,rainfall
Lower Shabelle,Marka,29.714,2002-06-01,rainfall
Lower Shabelle,Afgooye,24.514,2002-06-01,rainfall
Lower Shabelle,Baraawe,63.406,2002-06-01,rainfall
Lower Shabelle,Kurtunwaarey,33.962,2002-06-01,rainfall
Lower Shabelle,Qoryooley,26.646,2002-06-01,rainfall
Lower Shabelle,Sablaale,49.833,2002-06-01,rainfall
Lower Shabelle,Wanla Weyn,14.303,2002-06-01,rainfall
Bay,Baydhaba,10.658,2002-06-01,rainfall
Bay,Buur Hakaba,19.876,2002-06-01,rainfall
Bay,Diinsoor,16.514,2002-06-01,rainfall
Bay,Qansax Dheere,6.402,2002-06-01,rainfall
Bakool,Xudur,1.616,2002-06-01,rainfall
Bakool,Ceel Barde,1.466,2002-06-01,rainfall
Bakool,Tayeeglow,5.09,2002-06-01,rainfall
Bakool,Waajid,6.478,2002-06-01,rainfall
Bakool,Rab Dhuure,1.299,2002-06-01,rainfall
Lower Shabelle,Marka,36.515,2002-07-01,rainfall
Lower Shabelle,Afgooye,29.865,2002-07-01,rainfall
Lower Shabelle,Baraawe,40.166,2002-07-01,rainfall
Lower Shabelle,Kurtunwaarey,37.91,2002-07-01,rainfall
Lower Shabelle,Qoryooley,33.631,2002-07-01,rainfall
Lower Shabelle,Sablaale,40.461,2002-07-01,rainfall
Lower Shabelle,Wanla Weyn,18.434,2002-07-01,rainfall
Bay,Baydhaba,21.152,2002-07-01,rainfall
Bay,Buur Hakaba,26.422,2002-07-01,rainfall
Bay,Diinsoor,21.461,2002-07-01,rainfall
Bay,Qansax Dheere,13.904,2002-07-01,rainfall
Bakool,Xudur,11.193,2002-07-01,rainfall
Bakool,Ceel Barde,9.145,2002-07-01,rainfall
Bakool,Tayeeglow,37.27,2002-07-01,rainfall
Bakool,Waajid,9.814,2002-07-01,rainfall
Bakool,Rab Dhuure,1.446,2002-07-01,rainfall
Lower Shabelle,Marka,27.7,2002-08-01,rainfall
Lower Shabelle,Afgooye,11.571,2002-08-01,rainfall
Lower Shabelle,Baraawe,28.174,2002-08-01,rainfall
Lower Shabelle,Kurtunwaarey,19.083,2002-08-01,rainfall
Lower Shabelle,Qoryooley,23.38,2002-08-01,rainfall
Lower Shabelle,Sablaale,18.855,2002-08-01,rainfall
Lower Shabelle,Wanla Weyn,5.045,2002-08-01,rainfall
Bay,Baydhaba,14.677,2002-08-01,rainfall
Bay,Buur Hakaba,14.031,2002-08-01,rainfall
Bay,Diinsoor,11.136,2002-08-01,rainfall
Bay,Qansax Dheere,8.399,2002-08-01,rainfall
Bakool,Xudur,8.527,2002-08-01,rainfall
Bakool,Ceel Barde,11.655,2002-08-01,rainfall
Bakool,Tayeeglow,20.343,2002-08-01,rainfall
Bakool,Waajid,7.749,2002-08-01,rainfall
Bakool,Rab Dhuure,2.423,2002-08-01,rainfall
Lower Shabelle,Marka,12.705,2002-09-01,rainfall
Lower Shabelle,Afgooye,5.536,2002-09-01,rainfall
Lower Shabelle,Baraawe,20.823,2002-09-01,rainfall
Lower Shabelle,Kurtunwaarey,18.826,2002-09-01,rainfall
Lower Shabelle,Qoryooley,11.678,2002-09-01,rainfall
Lower Shabelle,Sablaale,19.407,2002-09-01,rainfall
Lower Shabelle,Wanla Weyn,6.436,2002-09-01,rainfall
Bay,Baydhaba,7.221,2002-09-01,rainfall
Bay,Buur Hakaba,11.985,2002-09-01,rainfall
Bay,Diinsoor,13.426,2002-09-01,rainfall
Bay,Qansax Dheere,6.704,2002-09-01,rainfall
Bakool,Xudur,21.643,2002-09-01,rainfall
Bakool,Ceel Barde,12.747,2002-09-01,rainfall
Bakool,Tayeeglow,11.124,2002-09-01,rainfall
Bakool,Waajid,10.39,2002-09-01,rainfall
Bakool,Rab Dhuure,7.13,2002-09-01,rainfall
Lower Shabelle,Marka,29.245,2002-10-01,rainfall
Lower Shabelle,Afgooye,115.73,2002-10-01,rainfall
Lower Shabelle,Baraawe,49.389,2002-10-01,rainfall
Lower Shabelle,Kurtunwaarey,137.727,2002-10-01,rainfall
Lower Shabelle,Qoryooley,124.283,2002-10-01,rainfall
Lower Shabelle,Sablaale,139.196,2002-10-01,rainfall
Lower Shabelle,Wanla Weyn,231.895,2002-10-01,rainfall
Bay,Baydhaba,244.014,2002-10-01,rainfall
Bay,Buur Hakaba,209.174,2002-10-01,rainfall
Bay,Diinsoor,135.164,2002-10-01,rainfall
Bay,Qansax Dheere,205.386,2002-10-01,rainfall
Bakool,Xudur,210.201,2002-10-01,rainfall
Bakool,Ceel Barde,170.101,2002-10-01,rainfall
Bakool,Tayeeglow,161.44,2002-10-01,rainfall
Bakool,Waajid,185.486,2002-10-01,rainfall
Bakool,Rab Dhuure,145.315,2002-10-01,rainfall
