id,date,station_number,level(m)
219923,19/11/2024,sh004,4.5
219916,18/11/2024,sh004,4.5
219909,17/11/2024,sh004,4.49
219902,16/11/2024,sh004,4.49
219895,15/11/2024,sh004,4.9
219888,14/11/2024,sh004,4.48
219881,13/11/2024,sh004,4.38
219874,12/11/2024,sh004,4.38
219867,11/11/2024,sh004,4.38
219860,10/11/2024,sh004,4.38
219853,09/11/2024,sh004,4.38
219846,08/11/2024,sh004,4.47
219839,07/11/2024,sh004,4.38
219832,06/11/2024,sh004,4.38
219825,05/11/2024,sh004,4.4
219818,04/11/2024,sh004,4.4
219811,03/11/2024,sh004,4.4
219804,02/11/2024,sh004,4.45
219797,01/11/2024,sh004,4.45
219790,31/10/2024,sh004,4.45
219783,30/10/2024,sh004,4.45
219776,29/10/2024,sh004,4.45
219743,28/10/2024,sh004,4.45
219736,27/10/2024,sh004,4.45
219729,26/10/2024,sh004,4.45
219722,25/10/2024,sh004,4.42
219715,24/10/2024,sh004,4.45
219708,23/10/2024,sh004,4.45
219701,22/10/2024,sh004,4.48
219694,21/10/2024,sh004,4.48
219687,20/10/2024,sh004,4.48
219680,19/10/2024,sh004,4.49
219673,18/10/2024,sh004,4.5
219666,17/10/2024,sh004,4.5
219659,16/10/2024,sh004,4.48
219652,15/10/2024,sh004,4.48
219645,14/10/2024,sh004,4.48
219638,13/10/2024,sh004,4.5
219631,12/10/2024,sh004,4.47
219624,11/10/2024,sh004,4.47
219617,10/10/2024,sh004,4.5
219610,09/10/2024,sh004,4.55
219603,08/10/2024,sh004,4.55
219596,07/10/2024,sh004,4.58
219589,06/10/2024,sh004,4.58
219582,05/10/2024,sh004,4.6
219575,04/10/2024,sh004,4.6
219568,03/10/2024,sh004,4.65
219561,02/10/2024,sh004,4.65
219554,01/10/2024,sh004,4.65
219547,30/09/2024,sh004,4.86
219540,29/09/2024,sh004,4.68
219533,28/09/2024,sh004,4.68
219526,27/09/2024,sh004,4.68
219519,26/09/2024,sh004,4.68
219512,25/09/2024,sh004,4.69
219505,24/09/2024,sh004,4.69
219498,23/09/2024,sh004,4.69
219491,22/09/2024,sh004,4.7
219484,21/09/2024,sh004,4.7
219477,20/09/2024,sh004,4.7
219470,19/09/2024,sh004,4.7
219463,18/09/2024,sh004,4.7
219456,17/09/2024,sh004,4.78
219449,16/09/2024,sh004,4.78
219442,15/09/2024,sh004,4.79
219435,14/09/2024,sh004,4.79
219428,13/09/2024,sh004,4.79
219421,12/09/2024,sh004,4.79
219414,11/09/2024,sh004,4.78
219407,10/09/2024,sh004,4.78
219400,09/09/2024,sh004,4.75
219393,08/09/2024,sh004,4.75
219386,07/09/2024,sh004,4.78
219379,06/09/2024,sh004,4.78
219372,05/09/2024,sh004,4.78
219365,04/09/2024,sh004,4.78
219358,03/09/2024,sh004,4.79
219351,02/09/2024,sh004,4.78
219344,01/09/2024,sh004,4.78
219337,31/08/2024,sh004,4.78
219330,30/08/2024,sh004,4.78
219323,29/08/2024,sh004,4.78
219316,28/08/2024,sh004,4.79
219309,27/08/2024,sh004,4.78
219302,26/08/2024,sh004,4.79
219295,25/08/2024,sh004,4.79
219288,24/08/2024,sh004,4.78
219281,23/08/2024,sh004,4.78
219274,22/08/2024,sh004,4.78
219267,21/08/2024,sh004,4.78
219260,20/08/2024,sh004,4.78
219253,19/08/2024,sh004,4.78
219246,18/08/2024,sh004,4.78
219239,17/08/2024,sh004,4.7
219232,16/08/2024,sh004,4.77
219225,15/08/2024,sh004,4.7
219218,14/08/2024,sh004,4.7
219211,13/08/2024,sh004,4.7
219204,12/08/2024,sh004,4.78
219197,11/08/2024,sh004,4.78
219190,10/08/2024,sh004,4.78
219183,09/08/2024,sh004,4.57
219176,08/08/2024,sh004,4.75
219169,07/08/2024,sh004,4.78
219162,06/08/2024,sh004,4.78
219155,05/08/2024,sh004,4.78
219148,04/08/2024,sh004,4.78
219141,03/08/2024,sh004,4.78
219134,02/08/2024,sh004,4.85
219127,01/08/2024,sh004,4.85
219120,31/07/2024,sh004,4.8
219113,30/07/2024,sh004,4.78
219106,29/07/2024,sh004,4.7
219099,28/07/2024,sh004,4.65
219092,27/07/2024,sh004,4.58
219085,26/07/2024,sh004,4.55
219078,25/07/2024,sh004,4.5
219071,24/07/2024,sh004,4.4
219064,23/07/2024,sh004,4.2
219057,22/07/2024,sh004,3.98
219050,21/07/2024,sh004,3.78
219043,20/07/2024,sh004,3.3
219036,19/07/2024,sh004,3.3
219029,18/07/2024,sh004,3.25
219022,17/07/2024,sh004,3.28
219015,16/07/2024,sh004,3.28
219008,15/07/2024,sh004,3.28
219001,14/07/2024,sh004,3.18
218994,13/07/2024,sh004,2.9
218987,12/07/2024,sh004,2.9
218980,11/07/2024,sh004,2.9
218973,10/07/2024,sh004,2.9
218966,09/07/2024,sh004,2.95
218959,08/07/2024,sh004,2.95
218952,07/07/2024,sh004,3
218945,06/07/2024,sh004,3
218938,05/07/2024,sh004,3
218931,04/07/2024,sh004,3.1
218924,03/07/2024,sh004,3.1
218917,02/07/2024,sh004,3.2
218910,01/07/2024,sh004,3.3
218903,30/06/2024,sh004,3.3
218896,29/06/2024,sh004,3.3
218889,28/06/2024,sh004,3.4
218882,27/06/2024,sh004,3.45
218875,26/06/2024,sh004,3.45
218868,25/06/2024,sh004,3.5
218861,24/06/2024,sh004,3.5
218854,23/06/2024,sh004,3.6
218847,22/06/2024,sh004,3.65
218840,21/06/2024,sh004,3.65
180481,20/06/2024,sh004,3.7
180474,19/06/2024,sh004,3.8
180467,18/06/2024,sh004,3.8
180460,17/06/2024,sh004,3.8
180453,16/06/2024,sh004,3.85
180446,15/06/2024,sh004,3.9
180439,14/06/2024,sh004,3.9
180432,13/06/2024,sh004,4
180425,12/06/2024,sh004,4
180418,11/06/2024,sh004,4
180411,10/06/2024,sh004,4.25
180404,09/06/2024,sh004,4.25
180397,08/06/2024,sh004,4.25
180390,07/06/2024,sh004,4.28
180383,06/06/2024,sh004,4.38
180376,05/06/2024,sh004,4.38
180369,04/06/2024,sh004,4.38
180362,03/06/2024,sh004,4.38
180355,02/06/2024,sh004,4.4
180348,01/06/2024,sh004,4.4
180341,31/05/2024,sh004,4.4
180334,30/05/2024,sh004,4.4
180327,29/05/2024,sh004,4.4
180320,28/05/2024,sh004,4.4
180313,27/05/2024,sh004,4.4
180306,26/05/2024,sh004,4.4
180299,25/05/2024,sh004,4.4
180292,24/05/2024,sh004,4.4
180285,23/05/2024,sh004,4.4
180278,22/05/2024,sh004,4.4
180271,21/05/2024,sh004,4.4
180264,20/05/2024,sh004,4.4
180257,19/05/2024,sh004,4.4
180250,18/05/2024,sh004,4.48
180243,17/05/2024,sh004,4.48
180236,16/05/2024,sh004,4.48
180229,15/05/2024,sh004,4.48
180222,14/05/2024,sh004,4.48
180215,13/05/2024,sh004,4.48
180208,12/05/2024,sh004,4.5
180201,11/05/2024,sh004,4.5
180194,10/05/2024,sh004,4.5
180187,09/05/2024,sh004,4.5
180180,08/05/2024,sh004,4.5
180173,07/05/2024,sh004,4.45
180166,06/05/2024,sh004,4.5
180159,05/05/2024,sh004,4.5
180152,04/05/2024,sh004,4.5
180145,03/05/2024,sh004,4.5
180138,02/05/2024,sh004,4.55
180131,01/05/2024,sh004,4.6
180124,30/04/2024,sh004,4.6
180117,29/04/2024,sh004,4.65
180110,28/04/2024,sh004,4.9
180103,27/04/2024,sh004,4.95
180096,26/04/2024,sh004,4.9
180089,25/04/2024,sh004,4.9
180082,24/04/2024,sh004,4.88
180075,23/04/2024,sh004,4.7
180068,22/04/2024,sh004,4.95
180061,21/04/2024,sh004,5.34
180054,20/04/2024,sh004,5.38
180047,19/04/2024,sh004,5.28
180040,18/04/2024,sh004,5.27
180033,17/04/2024,sh004,5.1
180026,16/04/2024,sh004,4.78
180019,15/04/2024,sh004,4.1
180012,14/04/2024,sh004,3
180005,13/04/2024,sh004,2.4
179998,12/04/2024,sh004,2.3
179991,11/04/2024,sh004,2.2
179984,10/04/2024,sh004,2.2
179977,09/04/2024,sh004,2.2
179970,08/04/2024,sh004,2.2
179963,07/04/2024,sh004,2.2
179956,06/04/2024,sh004,2.2
179949,05/04/2024,sh004,2.2
179942,04/04/2024,sh004,2.28
179935,03/04/2024,sh004,2.28
179928,02/04/2024,sh004,2.28
179921,01/04/2024,sh004,2.28
179914,31/03/2024,sh004,2.28
179907,30/03/2024,sh004,2.3
179900,29/03/2024,sh004,2.3
179893,28/03/2024,sh004,2.3
179886,27/03/2024,sh004,2.3
179879,26/03/2024,sh004,2.3
179872,25/03/2024,sh004,2.3
179865,24/03/2024,sh004,2.4
179858,23/03/2024,sh004,2.4
179851,22/03/2024,sh004,2.4
179844,21/03/2024,sh004,2.4
179837,20/03/2024,sh004,2.4
179830,19/03/2024,sh004,2.4
179823,18/03/2024,sh004,2.4
179816,17/03/2024,sh004,2.4
179809,16/03/2024,sh004,2.4
179802,15/03/2024,sh004,2.4
179795,14/03/2024,sh004,2.4
179788,13/03/2024,sh004,2.4
179781,12/03/2024,sh004,2.4
179774,11/03/2024,sh004,2.4
179767,10/03/2024,sh004,2.4
179760,09/03/2024,sh004,2.5
179753,08/03/2024,sh004,2.5
179746,07/03/2024,sh004,2.5
179739,06/03/2024,sh004,2.5
179732,05/03/2024,sh004,2.6
179725,04/03/2024,sh004,2.6
179718,03/03/2024,sh004,2.6
179711,02/03/2024,sh004,2.6
179704,01/03/2024,sh004,2.6
179697,29/02/2024,sh004,2.6
179690,28/02/2024,sh004,2.6
179683,27/02/2024,sh004,2.6
179676,26/02/2024,sh004,2.65
179669,25/02/2024,sh004,2.7
179662,24/02/2024,sh004,2.7
179655,23/02/2024,sh004,2.7
179648,22/02/2024,sh004,2.7
179641,21/02/2024,sh004,2.7
179634,20/02/2024,sh004,2.7
179627,19/02/2024,sh004,2.7
179620,18/02/2024,sh004,2.7
179613,17/02/2024,sh004,2.8
179606,16/02/2024,sh004,2.8
179599,15/02/2024,sh004,2.8
179592,14/02/2024,sh004,2.85
179585,13/02/2024,sh004,2.9
179578,12/02/2024,sh004,2.9
179571,11/02/2024,sh004,2.9
179564,10/02/2024,sh004,3
179557,09/02/2024,sh004,3.1
179550,08/02/2024,sh004,3.1
179543,07/02/2024,sh004,3.1
179536,06/02/2024,sh004,3.1
179529,05/02/2024,sh004,3.1
179522,04/02/2024,sh004,3.1
179515,03/02/2024,sh004,3.1
179508,01/02/2024,sh004,3.1
179501,31/01/2024,sh004,3.1
179494,30/01/2024,sh004,3.1
179487,29/01/2024,sh004,3.2
179480,28/01/2024,sh004,3.2
179473,27/01/2024,sh004,3.2
179466,26/01/2024,sh004,3.3
179459,25/01/2024,sh004,3.3
179452,24/01/2024,sh004,3.3
179445,23/01/2024,sh004,3.3
179438,22/01/2024,sh004,3.3
179431,21/01/2024,sh004,3.3
179424,20/01/2024,sh004,3.3
179417,19/01/2024,sh004,3.3
179410,18/01/2024,sh004,3.3
179403,17/01/2024,sh004,3.3
179396,16/01/2024,sh004,3.3
179389,15/01/2024,sh004,3.3
179382,14/01/2024,sh004,3.3
179375,13/01/2024,sh004,3.4
179368,12/01/2024,sh004,3.5
179361,11/01/2024,sh004,3.55
