,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours
0,2021-11-10 21:00:00+00:00,26.946,26.196,0.1,0.1,1.0
1,2021-11-11 21:00:00+00:00,27.246,26.346,0.0,0.0,0.0
2,2021-11-12 21:00:00+00:00,27.296,26.596,0.3,0.3,2.0
3,2021-11-13 21:00:00+00:00,27.146,25.996,1.5999999,1.5999999,6.0
4,2021-11-14 21:00:00+00:00,26.946,26.346,0.0,0.0,0.0
5,2021-11-15 21:00:00+00:00,27.296,26.296,0.0,0.0,0.0
6,2021-11-16 21:00:00+00:00,27.646,26.396,0.0,0.0,0.0
7,2021-11-17 21:00:00+00:00,27.646,26.696,0.0,0.0,0.0
8,2021-11-18 21:00:00+00:00,27.396,26.496,0.4,0.4,4.0
9,2021-11-19 21:00:00+00:00,26.796,26.246,0.4,0.4,4.0
10,2021-11-20 21:00:00+00:00,27.496,26.246,0.0,0.0,0.0
11,2021-11-21 21:00:00+00:00,27.046,26.246,0.0,0.0,0.0
12,2021-11-22 21:00:00+00:00,27.546,26.496,0.4,0.4,4.0
13,2021-11-23 21:00:00+00:00,27.596,26.496,0.0,0.0,0.0
14,2021-11-24 21:00:00+00:00,28.396,26.696,0.1,0.1,1.0
15,2021-11-25 21:00:00+00:00,27.746,24.746,14.5,14.5,14.0
16,2021-11-26 21:00:00+00:00,27.246,23.696,15.8,15.8,13.0
17,2021-11-27 21:00:00+00:00,27.346,25.196,0.3,0.3,2.0
18,2021-11-28 21:00:00+00:00,27.496,25.646,2.3,2.3,14.0
19,2021-11-29 21:00:00+00:00,28.046,25.046,0.70000005,0.70000005,6.0
20,2021-11-30 21:00:00+00:00,28.046,24.996,0.0,0.0,0.0
21,2021-12-01 21:00:00+00:00,28.146,27.396,0.0,0.0,0.0
22,2021-12-02 21:00:00+00:00,27.696,26.996,0.0,0.0,0.0
23,2021-12-03 21:00:00+00:00,27.796,26.946,0.2,0.2,2.0
24,2021-12-04 21:00:00+00:00,27.346,26.696,0.1,0.1,1.0
25,2021-12-05 21:00:00+00:00,27.596,26.546,0.1,0.1,1.0
26,2021-12-06 21:00:00+00:00,27.196,26.496,0.1,0.1,1.0
27,2021-12-07 21:00:00+00:00,27.546,26.446,0.4,0.4,3.0
28,2021-12-08 21:00:00+00:00,27.196,25.446,0.1,0.1,1.0
29,2021-12-09 21:00:00+00:00,27.596,25.446,0.0,0.0,0.0
30,2021-12-10 21:00:00+00:00,27.046,25.296,0.0,0.0,0.0
31,2021-12-11 21:00:00+00:00,27.146,25.546,0.0,0.0,0.0
32,2021-12-12 21:00:00+00:00,27.296,25.746,0.4,0.4,2.0
33,2021-12-13 21:00:00+00:00,27.146,26.096,0.3,0.3,3.0
34,2021-12-14 21:00:00+00:00,27.246,26.096,0.1,0.1,1.0
35,2021-12-15 21:00:00+00:00,27.096,25.596,0.3,0.3,3.0
36,2021-12-16 21:00:00+00:00,27.196,25.946,0.0,0.0,0.0
37,2021-12-17 21:00:00+00:00,26.796,25.746,0.4,0.4,4.0
38,2021-12-18 21:00:00+00:00,26.846,25.396,1.2,1.2,4.0
39,2021-12-19 21:00:00+00:00,27.096,26.046,0.0,0.0,0.0
40,2021-12-20 21:00:00+00:00,26.946,26.096,0.0,0.0,0.0
41,2021-12-21 21:00:00+00:00,26.896,25.696,0.0,0.0,0.0
42,2021-12-22 21:00:00+00:00,26.846,26.146,0.0,0.0,0.0
43,2021-12-23 21:00:00+00:00,26.746,25.796,0.1,0.1,1.0
44,2021-12-24 21:00:00+00:00,26.546,25.546,0.0,0.0,0.0
45,2021-12-25 21:00:00+00:00,26.996,25.946,0.0,0.0,0.0
46,2021-12-26 21:00:00+00:00,27.596,26.146,0.3,0.3,3.0
47,2021-12-27 21:00:00+00:00,27.146,24.846,0.0,0.0,0.0
48,2021-12-28 21:00:00+00:00,26.796,24.746,0.0,0.0,0.0
49,2021-12-29 21:00:00+00:00,26.796,24.496,0.0,0.0,0.0
50,2021-12-30 21:00:00+00:00,27.346,25.396,0.0,0.0,0.0
51,2021-12-31 21:00:00+00:00,27.046,24.046,0.0,0.0,0.0
52,2022-01-01 21:00:00+00:00,26.596,25.496,0.0,0.0,0.0
53,2022-01-02 21:00:00+00:00,26.896,25.296,0.0,0.0,0.0
54,2022-01-03 21:00:00+00:00,26.646,25.546,0.0,0.0,0.0
55,2022-01-04 21:00:00+00:00,26.996,25.896,0.0,0.0,0.0
56,2022-01-05 21:00:00+00:00,27.146,25.746,0.1,0.1,1.0
57,2022-01-06 21:00:00+00:00,27.196,25.846,0.0,0.0,0.0
58,2022-01-07 21:00:00+00:00,26.846,25.496,0.0,0.0,0.0
59,2022-01-08 21:00:00+00:00,27.096,25.896,0.0,0.0,0.0
60,2022-01-09 21:00:00+00:00,26.946,25.446,0.0,0.0,0.0
