day, jowhar_river_rain,river_level, gode_city_rain, gabredarre_fafen_river_rain, haren_fafen_river_rain
0,0.1,1.6,0,0,0
1,0,1.6,0,0.3,0
2,0.3,1.6,0,0,0
3,1.5999999,1.7,0.8,0,0
4,0,1.7,0.1,0,0
5,0,1.75,0,0.6,0
6,0,1.8,0,0,0
7,0,1.8,0.8000001,0,0
8,0.4,1.8,0,0,0
9,0.4,2.15,0,0,0
10,0,2.15,0,0,0
11,0,2.15,0,0,0
12,0.4,2.2,0,0,0
13,0,2.2,0,0,0
14,0.1,2.2,0,0,0
15,14.5,2.25,0,0,3.3999999
16,15.8,2.15,19.900002,4.8999996,0.1
17,0.3,2.2,0.4,2.8,0
18,2.3,2.2,0.1,0,0
19,0.70000005,2.3,0,0,0
