id,date,station_number,level(m)
219921,19/11/2024,sh001,7.66
219914,18/11/2024,sh001,7.6
219907,17/11/2024,sh001,7.5
219900,16/11/2024,sh001,7.42
219893,15/11/2024,sh001,7.35
219886,14/11/2024,sh001,7.28
219879,13/11/2024,sh001,7.15
219872,12/11/2024,sh001,7
219865,11/11/2024,sh001,7
219858,10/11/2024,sh001,6.88
219851,09/11/2024,sh001,6.8
219844,08/11/2024,sh001,6.72
219837,07/11/2024,sh001,6.65
219830,06/11/2024,sh001,6.58
219823,05/11/2024,sh001,6.5
219816,04/11/2024,sh001,6.42
219809,03/11/2024,sh001,6.35
219802,02/11/2024,sh001,6.35
219795,01/11/2024,sh001,6.5
219788,31/10/2024,sh001,6.8
219781,30/10/2024,sh001,7.34
219774,29/10/2024,sh001,7.45
219741,28/10/2024,sh001,7.4
219734,27/10/2024,sh001,7.36
219727,26/10/2024,sh001,7.32
219720,25/10/2024,sh001,7.25
219713,24/10/2024,sh001,7.2
219706,23/10/2024,sh001,7.14
219699,22/10/2024,sh001,7
219692,21/10/2024,sh001,6.94
219685,20/10/2024,sh001,6.88
219678,19/10/2024,sh001,6.8
219671,18/10/2024,sh001,6.75
219664,17/10/2024,sh001,6.7
219657,16/10/2024,sh001,6.6
219650,15/10/2024,sh001,6.5
219643,14/10/2024,sh001,6.4
219636,13/10/2024,sh001,6.3
219629,12/10/2024,sh001,6.3
219622,11/10/2024,sh001,6.2
219615,10/10/2024,sh001,6
219608,09/10/2024,sh001,5.78
219601,08/10/2024,sh001,5.5
219594,07/10/2024,sh001,5.35
219587,06/10/2024,sh001,5.1
219580,05/10/2024,sh001,5.18
219573,04/10/2024,sh001,5.18
219566,03/10/2024,sh001,5.35
219559,02/10/2024,sh001,5.56
219552,01/10/2024,sh001,6.5
219545,30/09/2024,sh001,7.35
219538,29/09/2024,sh001,7.52
219531,28/09/2024,sh001,7.52
219524,27/09/2024,sh001,7.52
219517,26/09/2024,sh001,7.52
219510,25/09/2024,sh001,7.55
219503,24/09/2024,sh001,7.55
219496,23/09/2024,sh001,7.58
219489,22/09/2024,sh001,7.58
219482,21/09/2024,sh001,7.58
219475,20/09/2024,sh001,7.58
219468,19/09/2024,sh001,7.62
219461,18/09/2024,sh001,7.6
219454,17/09/2024,sh001,7.56
219447,16/09/2024,sh001,7.56
219440,15/09/2024,sh001,7.56
219433,14/09/2024,sh001,7.56
219426,13/09/2024,sh001,7.52
219419,12/09/2024,sh001,7.52
219412,11/09/2024,sh001,7.5
219405,10/09/2024,sh001,7.5
219398,09/09/2024,sh001,7.42
219391,08/09/2024,sh001,7.4
219384,07/09/2024,sh001,7.36
219377,06/09/2024,sh001,7.3
219370,05/09/2024,sh001,7.16
219363,04/09/2024,sh001,7
219356,03/09/2024,sh001,7
219349,02/09/2024,sh001,7
219342,01/09/2024,sh001,7.18
219335,31/08/2024,sh001,7.38
219328,30/08/2024,sh001,7.5
219321,29/08/2024,sh001,7.63
219314,28/08/2024,sh001,7.6
219307,27/08/2024,sh001,7.55
219300,26/08/2024,sh001,7.5
219293,25/08/2024,sh001,7.5
219286,24/08/2024,sh001,7.4
219279,23/08/2024,sh001,7.28
219272,22/08/2024,sh001,7.15
