id,date,station_number,level(m)
219922,19/11/2024,sh002,5.94
219915,18/11/2024,sh002,5.88
219908,17/11/2024,sh002,5.8
219901,16/11/2024,sh002,5.72
219894,15/11/2024,sh002,5.6
219887,14/11/2024,sh002,5.5
219880,13/11/2024,sh002,5.44
219873,12/11/2024,sh002,5.4
219866,11/11/2024,sh002,5.35
219859,10/11/2024,sh002,5.4
219852,09/11/2024,sh002,5.4
219845,08/11/2024,sh002,5.48
219838,07/11/2024,sh002,5.55
219831,06/11/2024,sh002,5.62
219824,05/11/2024,sh002,5.7
219817,04/11/2024,sh002,5.86
219810,03/11/2024,sh002,6
219803,02/11/2024,sh002,5.92
219796,01/11/2024,sh002,5.8
219789,31/10/2024,sh002,5.7
219782,30/10/2024,sh002,5.62
219775,29/10/2024,sh002,5.55
219742,28/10/2024,sh002,5.46
219735,27/10/2024,sh002,5.38
219728,26/10/2024,sh002,5.28
219721,25/10/2024,sh002,5.2
219714,24/10/2024,sh002,5.08
219707,23/10/2024,sh002,5
219700,22/10/2024,sh002,5.06
219693,21/10/2024,sh002,5.12
219686,20/10/2024,sh002,5.2
219679,19/10/2024,sh002,5.28
219672,18/10/2024,sh002,5.35
219665,17/10/2024,sh002,5.44
219658,16/10/2024,sh002,5.52
219651,15/10/2024,sh002,5.6
219644,14/10/2024,sh002,5.7
219637,13/10/2024,sh002,5.8
219630,12/10/2024,sh002,5.88
219623,11/10/2024,sh002,5.95
219616,10/10/2024,sh002,6.08
219609,09/10/2024,sh002,6.2
219602,08/10/2024,sh002,6.3
219595,07/10/2024,sh002,6.42
219588,06/10/2024,sh002,6.66
219581,05/10/2024,sh002,6.9
219574,04/10/2024,sh002,7.15
219567,03/10/2024,sh002,7.3
219560,02/10/2024,sh002,7.42
219553,01/10/2024,sh002,7.5
219546,30/09/2024,sh002,7.6
219539,29/09/2024,sh002,7.64
219532,28/09/2024,sh002,7.64
219525,27/09/2024,sh002,7.64
219518,26/09/2024,sh002,7.6
219511,25/09/2024,sh002,7.56
219504,24/09/2024,sh002,7.5
219497,23/09/2024,sh002,7.44
219490,22/09/2024,sh002,7.44
219483,21/09/2024,sh002,7.4
219476,20/09/2024,sh002,7.35
219469,19/09/2024,sh002,7.3
219462,18/09/2024,sh002,7.3
219455,17/09/2024,sh002,7.24
219448,16/09/2024,sh002,7.18
219441,15/09/2024,sh002,7.12
219434,14/09/2024,sh002,7.06
219427,13/09/2024,sh002,7
219420,12/09/2024,sh002,6.95
219413,11/09/2024,sh002,6.88
219406,10/09/2024,sh002,6.82
219399,09/09/2024,sh002,6.9
219392,08/09/2024,sh002,7
219385,07/09/2024,sh002,7.12
219378,06/09/2024,sh002,7.2
219371,05/09/2024,sh002,7.2
219364,04/09/2024,sh002,7.15
219357,03/09/2024,sh002,7.1
219350,02/09/2024,sh002,7.08
219343,01/09/2024,sh002,7
219336,31/08/2024,sh002,6.9
219329,30/08/2024,sh002,6.85
219322,29/08/2024,sh002,6.8
219315,28/08/2024,sh002,6.75
219308,27/08/2024,sh002,6.7
219301,26/08/2024,sh002,6.65
219294,25/08/2024,sh002,6.6
219287,24/08/2024,sh002,6.52
219280,23/08/2024,sh002,6.45
219273,22/08/2024,sh002,6.38
219266,21/08/2024,sh002,6.3
219259,20/08/2024,sh002,6.2
219252,19/08/2024,sh002,6.11
219245,18/08/2024,sh002,6
219238,17/08/2024,sh002,5.9
219231,16/08/2024,sh002,5.84
219224,15/08/2024,sh002,5.77
219217,14/08/2024,sh002,5.66
219210,13/08/2024,sh002,5.56
219203,12/08/2024,sh002,5.45
219196,11/08/2024,sh002,5.33
219189,10/08/2024,sh002,5.2
219182,09/08/2024,sh002,5.08
219175,08/08/2024,sh002,4.95
219168,07/08/2024,sh002,4.8
219161,06/08/2024,sh002,4.67
219154,05/08/2024,sh002,4.55
219147,04/08/2024,sh002,4.44
219140,03/08/2024,sh002,4.35
219133,02/08/2024,sh002,4.25
219126,01/08/2024,sh002,4.14
219119,31/07/2024,sh002,4.06
219112,30/07/2024,sh002,4
219105,29/07/2024,sh002,3.9
219098,28/07/2024,sh002,3.82
219091,27/07/2024,sh002,3.75
219084,26/07/2024,sh002,3.64
219077,25/07/2024,sh002,3.5
219070,24/07/2024,sh002,3.42
219063,23/07/2024,sh002,3.3
219056,22/07/2024,sh002,3.2
219049,21/07/2024,sh002,3.08
219042,20/07/2024,sh002,3
219035,19/07/2024,sh002,2.95
219028,18/07/2024,sh002,2.85
219021,17/07/2024,sh002,2.77
219014,16/07/2024,sh002,2.7
219007,15/07/2024,sh002,2.6
219000,14/07/2024,sh002,2.63
218993,13/07/2024,sh002,2.66
218986,12/07/2024,sh002,2.7
218979,11/07/2024,sh002,2.74
218972,10/07/2024,sh002,2.78
218965,09/07/2024,sh002,2.82
218958,08/07/2024,sh002,2.86
218951,07/07/2024,sh002,2.9
218944,06/07/2024,sh002,2.96
218937,05/07/2024,sh002,3
218930,04/07/2024,sh002,3.05
218923,03/07/2024,sh002,3.1
218916,02/07/2024,sh002,3.16
218909,01/07/2024,sh002,3.2
218902,30/06/2024,sh002,3.26
218895,29/06/2024,sh002,3.3
218888,28/06/2024,sh002,3.35
218881,27/06/2024,sh002,3.4
218874,26/06/2024,sh002,3.44
218867,25/06/2024,sh002,3.5
218860,24/06/2024,sh002,3.55
218853,23/06/2024,sh002,3.5
218846,22/06/2024,sh002,3.66
218839,21/06/2024,sh002,3.7
180480,20/06/2024,sh002,3.76
180473,19/06/2024,sh002,3.8
180466,18/06/2024,sh002,3.87
180459,17/06/2024,sh002,3.96
180452,16/06/2024,sh002,4.04
180445,15/06/2024,sh002,4.15
180438,14/06/2024,sh002,4.22
180431,13/06/2024,sh002,4.3
180424,12/06/2024,sh002,4.39
180417,11/06/2024,sh002,4.5
180410,10/06/2024,sh002,4.62
180403,09/06/2024,sh002,4.77
180396,08/06/2024,sh002,4.9
180389,07/06/2024,sh002,5.02
180382,06/06/2024,sh002,5.26
180375,05/06/2024,sh002,5.5
180368,04/06/2024,sh002,5.7
180361,03/06/2024,sh002,5.88
180354,02/06/2024,sh002,6.08
180347,01/06/2024,sh002,6.3
180340,31/05/2024,sh002,6.6
180333,30/05/2024,sh002,6.98
180326,29/05/2024,sh002,7.25
180319,28/05/2024,sh002,7.15
180312,27/05/2024,sh002,7.08
180305,26/05/2024,sh002,7
180298,25/05/2024,sh002,6.93
180291,24/05/2024,sh002,6.8
180284,23/05/2024,sh002,6.66
180277,22/05/2024,sh002,6.56
180270,21/05/2024,sh002,6.44
180263,20/05/2024,sh002,6.32
180256,19/05/2024,sh002,6.2
180249,18/05/2024,sh002,6.09
180242,17/05/2024,sh002,6.02
180235,16/05/2024,sh002,5.96
180228,15/05/2024,sh002,5.87
180221,14/05/2024,sh002,5.77
180214,13/05/2024,sh002,5.62
180207,12/05/2024,sh002,5.5
180200,11/05/2024,sh002,5.42
180193,10/05/2024,sh002,5.33
180186,09/05/2024,sh002,5.22
180179,08/05/2024,sh002,5.14
180172,07/05/2024,sh002,5.05
180165,06/05/2024,sh002,4.92
180158,05/05/2024,sh002,4.84
180151,04/05/2024,sh002,4.72
180144,03/05/2024,sh002,4.6
180137,02/05/2024,sh002,4.52
180130,01/05/2024,sh002,4.46
180123,30/04/2024,sh002,4.32
180116,29/04/2024,sh002,4.2
180109,28/04/2024,sh002,4.05
180102,27/04/2024,sh002,3.96
180095,26/04/2024,sh002,3.82
180088,25/04/2024,sh002,3.68
180081,24/04/2024,sh002,3.6
180074,23/04/2024,sh002,3.48
180067,22/04/2024,sh002,3.33
180060,21/04/2024,sh002,3.2
180053,20/04/2024,sh002,3.08
180046,19/04/2024,sh002,2.96
180039,18/04/2024,sh002,2.8
180032,17/04/2024,sh002,2.7
180025,16/04/2024,sh002,2.62
180018,15/04/2024,sh002,2.55
180011,14/04/2024,sh002,2.44
180004,13/04/2024,sh002,2.36
179997,12/04/2024,sh002,2.26
179990,11/04/2024,sh002,2.2
179983,10/04/2024,sh002,2.2
179976,09/04/2024,sh002,2.2
179969,08/04/2024,sh002,2.2
179962,07/04/2024,sh002,2.2
179955,06/04/2024,sh002,2.22
179948,05/04/2024,sh002,2.22
179941,04/04/2024,sh002,2.22
179934,03/04/2024,sh002,2.22
179927,02/04/2024,sh002,2.22
179920,01/04/2024,sh002,2.22
179913,31/03/2024,sh002,2.22
179906,30/03/2024,sh002,2.22
179899,29/03/2024,sh002,2.22
179892,28/03/2024,sh002,2.22
179885,27/03/2024,sh002,2.22
179878,26/03/2024,sh002,2.22
179871,25/03/2024,sh002,2.22
179864,24/03/2024,sh002,2.22
179857,23/03/2024,sh002,2.22
179850,22/03/2024,sh002,2.22
179843,21/03/2024,sh002,2.22
179836,20/03/2024,sh002,2.22
179829,19/03/2024,sh002,2.22
179822,18/03/2024,sh002,2.22
179815,17/03/2024,sh002,2.22
179808,16/03/2024,sh002,2.26
