,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours
0,2021-11-10 21:00:00+00:00,35.663002,22.363,0.0,0.0,0.0
1,2021-11-11 21:00:00+00:00,34.863,22.963001,0.1,0.1,1.0
2,2021-11-12 21:00:00+00:00,34.713,23.213001,1.2,1.2,4.0
3,2021-11-13 21:00:00+00:00,33.113,23.563,1.6,1.6,7.0
4,2021-11-14 21:00:00+00:00,34.313,22.713001,0.3,0.3,1.0
5,2021-11-15 21:00:00+00:00,34.763,22.563,0.6,0.6,2.0
6,2021-11-16 21:00:00+00:00,34.663002,22.813,1.4000001,1.4000001,3.0
7,2021-11-17 21:00:00+00:00,33.413002,22.863,0.7,0.7,3.0
8,2021-11-18 21:00:00+00:00,34.663002,23.013,0.4,0.4,4.0
9,2021-11-19 21:00:00+00:00,35.163002,22.713001,0.2,0.2,2.0
10,2021-11-20 21:00:00+00:00,36.313,22.263,0.0,0.0,0.0
11,2021-11-21 21:00:00+00:00,34.313,22.113,0.4,0.4,4.0
12,2021-11-22 21:00:00+00:00,35.663002,22.813,0.0,0.0,0.0
13,2021-11-23 21:00:00+00:00,35.663002,22.313,0.2,0.2,1.0
14,2021-11-24 21:00:00+00:00,37.463,23.163,0.0,0.0,0.0
15,2021-11-25 21:00:00+00:00,30.213001,22.663,39.2,39.2,17.0
16,2021-11-26 21:00:00+00:00,30.863,22.413,27.900003,27.900003,12.0
17,2021-11-27 21:00:00+00:00,31.413,22.563,1.6,1.6,7.0
18,2021-11-28 21:00:00+00:00,31.213001,22.413,2.1000001,2.1000001,7.0
19,2021-11-29 21:00:00+00:00,32.863,21.413,0.0,0.0,0.0
20,2021-11-30 21:00:00+00:00,32.863,21.163,0.0,0.0,0.0
21,2021-12-01 21:00:00+00:00,33.413002,24.363,0.0,0.0,0.0
22,2021-12-02 21:00:00+00:00,34.313,22.713001,0.0,0.0,0.0
23,2021-12-03 21:00:00+00:00,33.763,22.763,0.1,0.1,1.0
24,2021-12-04 21:00:00+00:00,34.363,22.963001,0.0,0.0,0.0
25,2021-12-05 21:00:00+00:00,34.763,22.463001,0.0,0.0,0.0
26,2021-12-06 21:00:00+00:00,34.263,23.163,0.4,0.4,2.0
27,2021-12-07 21:00:00+00:00,34.963,22.863,0.0,0.0,0.0
28,2021-12-08 21:00:00+00:00,35.663002,23.063,0.0,0.0,0.0
29,2021-12-09 21:00:00+00:00,35.013,22.363,0.0,0.0,0.0
30,2021-12-10 21:00:00+00:00,35.313,22.513,0.0,0.0,0.0
31,2021-12-11 21:00:00+00:00,35.513,23.263,0.6,0.6,3.0
32,2021-12-12 21:00:00+00:00,35.213,23.813,0.1,0.1,1.0
33,2021-12-13 21:00:00+00:00,35.063,23.613,0.0,0.0,0.0
34,2021-12-14 21:00:00+00:00,35.213,23.613,0.0,0.0,0.0
35,2021-12-15 21:00:00+00:00,35.413002,23.063,0.0,0.0,0.0
36,2021-12-16 21:00:00+00:00,35.313,24.263,0.5,0.5,3.0
37,2021-12-17 21:00:00+00:00,31.663,24.663,2.7,2.7,6.0
38,2021-12-18 21:00:00+00:00,32.763,23.413,2.6,2.6,6.0
39,2021-12-19 21:00:00+00:00,33.163002,23.813,1.4,1.4,4.0
40,2021-12-20 21:00:00+00:00,33.913002,23.613,0.3,0.3,1.0
41,2021-12-21 21:00:00+00:00,35.063,22.913,0.0,0.0,0.0
42,2021-12-22 21:00:00+00:00,34.463,23.063,0.6,0.6,3.0
43,2021-12-23 21:00:00+00:00,34.563,23.413,0.0,0.0,0.0
44,2021-12-24 21:00:00+00:00,34.913002,22.213001,0.0,0.0,0.0
45,2021-12-25 21:00:00+00:00,34.863,23.013,0.0,0.0,0.0
46,2021-12-26 21:00:00+00:00,35.413002,23.663,0.0,0.0,0.0
47,2021-12-27 21:00:00+00:00,35.113,22.513,0.0,0.0,0.0
48,2021-12-28 21:00:00+00:00,34.813,21.613,0.0,0.0,0.0
49,2021-12-29 21:00:00+00:00,35.563,22.013,0.0,0.0,0.0
50,2021-12-30 21:00:00+00:00,35.113,22.063,0.0,0.0,0.0
51,2021-12-31 21:00:00+00:00,35.413002,21.013,0.0,0.0,0.0
52,2022-01-01 21:00:00+00:00,35.813,22.363,0.0,0.0,0.0
53,2022-01-02 21:00:00+00:00,35.813,22.113,0.4,0.4,2.0
54,2022-01-03 21:00:00+00:00,36.563,23.013,0.1,0.1,1.0
55,2022-01-04 21:00:00+00:00,36.263,24.113,0.9,0.9,2.0
56,2022-01-05 21:00:00+00:00,36.213,23.563,0.0,0.0,0.0
57,2022-01-06 21:00:00+00:00,36.363,22.963001,0.0,0.0,0.0
58,2022-01-07 21:00:00+00:00,36.213,22.913,0.0,0.0,0.0
59,2022-01-08 21:00:00+00:00,35.913002,23.263,0.0,0.0,0.0
60,2022-01-09 21:00:00+00:00,35.063,22.763,0.0,0.0,0.0
61,2022-01-10 21:00:00+00:00,35.113,22.363,0.0,0.0,0.0
62,2022-01-11 21:00:00+00:00,35.513,22.313,0.0,0.0,0.0
63,2022-01-12 21:00:00+00:00,35.563,22.013,0.0,0.0,0.0
64,2022-01-13 21:00:00+00:00,36.263,22.413,0.0,0.0,0.0
65,2022-01-14 21:00:00+00:00,36.113,22.063,0.0,0.0,0.0
66,2022-01-15 21:00:00+00:00,36.663002,22.863,0.0,0.0,0.0
67,2022-01-16 21:00:00+00:00,36.863,23.313,0.0,0.0,0.0
68,2022-01-17 21:00:00+00:00,34.263,23.413,1.9000001,1.9000001,5.0
69,2022-01-18 21:00:00+00:00,35.063,22.413,0.0,0.0,0.0
70,2022-01-19 21:00:00+00:00,35.813,22.763,0.0,0.0,0.0
71,2022-01-20 21:00:00+00:00,34.763,22.313,0.0,0.0,0.0
72,2022-01-21 21:00:00+00:00,35.863,22.713001,0.0,0.0,0.0
73,2022-01-22 21:00:00+00:00,36.063,22.763,0.0,0.0,0.0
74,2022-01-23 21:00:00+00:00,35.463,21.563,0.0,0.0,0.0
75,2022-01-24 21:00:00+00:00,35.513,21.513,0.0,0.0,0.0
76,2022-01-25 21:00:00+00:00,35.463,21.563,0.0,0.0,0.0
