,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours
0,2021-11-10 21:00:00+00:00,4.0759997,-2.724,5.3999996,4.0000005,12.0
1,2021-11-11 21:00:00+00:00,3.776,-2.824,7.0999994,5.9,11.0
2,2021-11-12 21:00:00+00:00,5.726,-0.37400007,2.6,2.6,9.0
3,2021-11-13 21:00:00+00:00,6.0759997,-1.3740001,1.4000001,1.4000001,6.0
4,2021-11-14 21:00:00+00:00,5.4259996,-2.324,1.2,1.2,8.0
5,2021-11-15 21:00:00+00:00,5.9259996,-1.674,0.1,0.1,1.0
6,2021-11-16 21:00:00+00:00,5.376,-1.024,3.1999998,2.9999998,8.0
7,2021-11-17 21:00:00+00:00,5.9259996,-1.674,0.4,0.4,4.0
8,2021-11-18 21:00:00+00:00,6.0759997,-2.624,0.2,0.2,2.0
9,2021-11-19 21:00:00+00:00,6.3259997,-2.974,0.8,0.70000005,3.0
10,2021-11-20 21:00:00+00:00,6.526,-2.474,0.1,0.1,1.0
11,2021-11-21 21:00:00+00:00,6.1759996,-1.8740001,2.0,0.29999998,6.0
12,2021-11-22 21:00:00+00:00,6.276,-3.324,0.0,0.0,0.0
13,2021-11-23 21:00:00+00:00,6.3259997,-2.0740001,0.6,0.5,5.0
14,2021-11-24 21:00:00+00:00,4.6759996,-2.674,3.6999998,1.1,8.0
15,2021-11-25 21:00:00+00:00,4.876,-3.7740002,2.8999999,0.7,7.0
16,2021-11-26 21:00:00+00:00,5.276,-2.174,6.0000005,5.6,13.0
17,2021-11-27 21:00:00+00:00,5.5759997,-1.2240001,0.4,0.4,4.0
18,2021-11-28 21:00:00+00:00,5.726,-2.674,1.3000001,0.8,5.0
19,2021-11-29 21:00:00+00:00,5.5759997,-3.624,0.1,0.1,1.0
20,2021-11-30 21:00:00+00:00,5.6759996,-4.1740003,0.0,0.0,0.0
21,2021-12-01 21:00:00+00:00,4.9259996,-3.124,1.1,1.0,6.0
22,2021-12-02 21:00:00+00:00,6.526,-2.324,0.1,0.1,1.0
23,2021-12-03 21:00:00+00:00,6.276,-2.224,0.5,0.5,3.0
24,2021-12-04 21:00:00+00:00,6.476,-3.374,0.0,0.0,0.0
25,2021-12-05 21:00:00+00:00,6.726,-3.224,0.0,0.0,0.0
26,2021-12-06 21:00:00+00:00,6.8759995,-3.624,0.0,0.0,0.0
27,2021-12-07 21:00:00+00:00,5.9259996,-3.224,2.2,2.0,6.0
