,date,forecast_latitude,forecast_longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,region,district,district_latitude,district_longitude
0,2024-11-12 21:00:00+00:00,4.75,43.25,30.338999,23.439,1.1,0.0,4.0,85.0,15.192682,Bakool,Ceel Barde,4.6947431,43.2434254
1,2024-11-13 21:00:00+00:00,4.75,43.25,33.639,21.838999,0.0,0.0,0.0,18.0,13.584932,Bakool,Ceel Barde,4.6947431,43.2434254
2,2024-11-14 21:00:00+00:00,4.75,43.25,32.689003,21.989,0.2,0.0,2.0,17.0,23.749088,Bakool,Ceel Barde,4.6947431,43.2434254
3,2024-11-15 21:00:00+00:00,4.75,43.25,33.739002,18.989,0.0,0.0,0.0,0.0,21.599998,Bakool,Ceel Barde,4.6947431,43.2434254
4,2024-11-16 21:00:00+00:00,4.75,43.25,34.889,20.689,0.0,0.0,0.0,3.0,15.0038395,Bakool,Ceel Barde,4.6947431,43.2434254
5,2024-11-17 21:00:00+00:00,4.75,43.25,33.189003,23.789,3.6,0.0,9.0,8.0,23.587555,Bakool,Ceel Barde,4.6947431,43.2434254
6,2024-11-18 21:00:00+00:00,4.75,43.25,34.289,23.588999,0.0,0.0,0.0,15.0,22.206486,Bakool,Ceel Barde,4.6947431,43.2434254
7,2024-11-12 21:00:00+00:00,4.375,43.125,31.063,23.563,1.6,0.0,6.0,88.0,14.77755,Bakool,Rab Dhuure,4.3457412,43.1512379
8,2024-11-13 21:00:00+00:00,4.375,43.125,34.063,22.413,0.0,0.0,0.0,30.0,12.55879,Bakool,Rab Dhuure,4.3457412,43.1512379
9,2024-11-14 21:00:00+00:00,4.375,43.125,32.763,22.263,0.5,0.0,4.0,3.0,18.864824,Bakool,Rab Dhuure,4.3457412,43.1512379
10,2024-11-15 21:00:00+00:00,4.375,43.125,34.713,18.713001,0.0,0.0,0.0,0.0,19.35314,Bakool,Rab Dhuure,4.3457412,43.1512379
11,2024-11-16 21:00:00+00:00,4.375,43.125,36.013,20.763,0.0,0.0,0.0,3.0,16.1198,Bakool,Rab Dhuure,4.3457412,43.1512379
12,2024-11-17 21:00:00+00:00,4.375,43.125,32.763,23.913,0.6,0.0,6.0,9.0,14.81259,Bakool,Rab Dhuure,4.3457412,43.1512379
13,2024-11-18 21:00:00+00:00,4.375,43.125,35.113,23.663,0.0,0.0,0.0,11.0,18.556595,Bakool,Rab Dhuure,4.3457412,43.1512379
14,2024-11-12 21:00:00+00:00,3.75,44.5,29.2975,22.9475,7.0,0.0,9.0,83.0,13.324863,Bakool,Tayeeglow,3.78,44.5375004
15,2024-11-13 21:00:00+00:00,3.75,44.5,28.9475,23.0475,2.0,0.0,5.0,53.0,14.934577,Bakool,Tayeeglow,3.78,44.5375004
16,2024-11-14 21:00:00+00:00,3.75,44.5,31.6475,22.1975,0.0,0.0,0.0,5.0,20.240198,Bakool,Tayeeglow,3.78,44.5375004
17,2024-11-15 21:00:00+00:00,3.75,44.5,32.8975,19.7475,0.0,0.0,0.0,0.0,17.713316,Bakool,Tayeeglow,3.78,44.5375004
18,2024-11-16 21:00:00+00:00,3.75,44.5,32.5475,21.0975,0.0,0.0,0.0,5.0,17.786331,Bakool,Tayeeglow,3.78,44.5375004
