district,month,region,threshold,value,year
Ceel Barde,02,Bakool,Normal,2.995,2024
Ceel Barde,04,Bakool,Normal,2.259,2024
Ceel Barde,01,Bakool,Normal,2.795,2024
Ceel Barde,03,Bakool,Normal,2.675,2024
Ceel Barde,08,Bakool,Normal,2.063,2024
Ceel Barde,06,Bakool,Normal,1.593,2024
Ceel Barde,09,Bakool,Normal,1.904,2024
Ceel Barde,07,Bakool,Normal,2.063,2024
Ceel Barde,05,Bakool,Normal,1.637,2024
Ceel Barde,11,Bakool,Normal,1.583,2023
Ceel Barde,10,Bakool,Normal,1.063,2023
Ceel Barde,05,Bakool,Normal,1.136,2023
Ceel Barde,06,Bakool,Normal,1.097,2023
Ceel Barde,02,Bakool,Alarm,0.728,2023
Ceel Barde,07,Bakool,Normal,1.099,2023
Ceel Barde,08,Bakool,Alert,0.977,2023
Ceel Barde,09,Bakool,Alarm,0.671,2023
Ceel Barde,04,Bakool,Normal,1.344,2023
Ceel Barde,03,Bakool,Alert,0.853,2023
Ceel Barde,12,Bakool,Normal,2.326,2023
Ceel Barde,01,Bakool,Alarm,0.691,2023
Ceel Barde,09,Bakool,Alert,0.89,2022
Ceel Barde,05,Bakool,Alarm,0.66,2022
Ceel Barde,08,Bakool,Alert,0.96,2022
Ceel Barde,12,Bakool,Alarm,0.614,2022
Ceel Barde,06,Bakool,Alarm,0.74,2022
Ceel Barde,03,Bakool,Alarm,0.39,2022
Ceel Barde,01,Bakool,Alarm,0.32,2022
Ceel Barde,11,Bakool,Alarm,0.619,2022
Ceel Barde,10,Bakool,Alarm,0.69,2022
Ceel Barde,07,Bakool,Alert,0.94,2022
Ceel Barde,02,Bakool,Alarm,0.37,2022
Ceel Barde,04,Bakool,Alarm,0.56,2022
Ceel Barde,06,Bakool,Normal,1.76,2021
Ceel Barde,09,Bakool,Normal,1.29,2021
Ceel Barde,11,Bakool,Alarm,0.4,2021
Ceel Barde,07,Bakool,Normal,1.84,2021
Ceel Barde,03,Bakool,Normal,1.77,2021
Ceel Barde,08,Bakool,Normal,1.59,2021
Ceel Barde,02,Bakool,Normal,1.68,2021
Ceel Barde,12,Bakool,Alarm,0.33,2021
Ceel Barde,10,Bakool,Alarm,0.72,2021
Ceel Barde,05,Bakool,Normal,1.58,2021
Ceel Barde,01,Bakool,Normal,1.52,2021
Ceel Barde,04,Bakool,Normal,1.28,2021
Ceel Barde,03,Bakool,Normal,4.25,2020
Ceel Barde,02,Bakool,Normal,3.06,2020
Ceel Barde,01,Bakool,Normal,3.19,2020
Ceel Barde,06,Bakool,Normal,2.8,2020
Ceel Barde,10,Bakool,Normal,2.01,2020
Ceel Barde,11,Bakool,Normal,1.93,2020
Ceel Barde,04,Bakool,Normal,3.54,2020
Ceel Barde,07,Bakool,Normal,3.26,2020
Ceel Barde,12,Bakool,Normal,1.59,2020
Ceel Barde,08,Bakool,Normal,3.91,2020
Ceel Barde,09,Bakool,Normal,2.36,2020
Ceel Barde,05,Bakool,Normal,2.82,2020
Ceel Barde,08,Bakool,Normal,1.49,2019
Ceel Barde,04,Bakool,Alarm,0.4,2019
Ceel Barde,06,Bakool,Normal,1.31,2019
Ceel Barde,11,Bakool,Normal,2.83,2019
Ceel Barde,01,Bakool,Alarm,0.72,2019
Ceel Barde,05,Bakool,Normal,1.1,2019
Ceel Barde,12,Bakool,Normal,3.23,2019
Ceel Barde,09,Bakool,Normal,1.56,2019
Ceel Barde,03,Bakool,Alarm,0.55,2019
Ceel Barde,02,Bakool,Alarm,0.75,2019
Ceel Barde,07,Bakool,Normal,1.47,2019
Ceel Barde,10,Bakool,Normal,2.93,2019
Ceel Barde,12,Bakool,Alarm,0.66,2018
Ceel Barde,11,Bakool,Alert,0.84,2018
Rab Dhuure,02,Bakool,Normal,3.686,2024
Rab Dhuure,01,Bakool,Normal,3.34,2024
Rab Dhuure,09,Bakool,Normal,1.887,2024
Rab Dhuure,08,Bakool,Normal,1.918,2024
Rab Dhuure,07,Bakool,Normal,1.918,2024
