district,long_term_monthly_mean,month,region,threshold,value,year
Rab Dhuure,153.72965217391305,04,Bakool,Normal,169.831,2024
Rab Dhuure,21.568791666666666,03,Bakool,Alarm,7.324,2024
Rab Dhuure,1.0575416666666666,02,Bakool,Normal,0.904,2024
Rab Dhuure,0.39666666666666667,01,Bakool,Normal,0.387,2024
Ceel Barde,9.343375,09,Bakool,Normal,7.559,2024
Ceel Barde,11.227083333333333,08,Bakool,Normal,15.918,2024
Ceel Barde,11.115666666666666,07,Bakool,Normal,15.918,2024
Ceel Barde,2.2587083333333333,06,Bakool,Alert,1.215,2024
Ceel Barde,47.504583333333336,05,Bakool,Normal,67.968,2024
Ceel Barde,97.95658333333333,04,Bakool,Normal,117.242,2024
Ceel Barde,14.424416666666668,03,Bakool,Alert,7.321,2024
Ceel Barde,1.2174166666666666,02,Bakool,Normal,1.231,2024
Ceel Barde,0.7174166666666667,01,Bakool,Normal,0.717,2024
Sablaale,41.74220833333333,07,Lower Shabelle,Normal,34.548,2024
Sablaale,50.698791666666665,06,Lower Shabelle,Normal,60.962,2024
Sablaale,118.52583333333334,05,Lower Shabelle,Alert,75.285,2024
Sablaale,128.811,04,Lower Shabelle,Normal,168.105,2024
Sablaale,11.212125,03,Lower Shabelle,Normal,11.532,2024
Sablaale,0.9485,02,Lower Shabelle,Normal,0.918,2024
Sablaale,0.8073333333333333,01,Lower Shabelle,Normal,0.819,2024
Qoryooley,8.802541666666666,09,Lower Shabelle,Normal,7.305,2024
Sablaale,15.461416666666667,09,Lower Shabelle,Alert,12.147,2024
Sablaale,19.581958333333333,08,Lower Shabelle,Normal,34.548,2024
Wanla Weyn,1.6720416666666666,01,Lower Shabelle,Normal,1.776,2024
Wanla Weyn,1.184125,02,Lower Shabelle,Normal,1.149,2024
Wanla Weyn,9.543625,03,Lower Shabelle,Normal,11.112,2024
Wanla Weyn,81.25175,04,Lower Shabelle,Normal,80.742,2024
Wanla Weyn,58.84133333333333,05,Lower Shabelle,Normal,90.411,2024
Wanla Weyn,15.968333333333334,06,Lower Shabelle,Normal,13.108,2024
Wanla Weyn,17.284125,07,Lower Shabelle,Alert,12.193,2024
Wanla Weyn,6.404541666666667,08,Lower Shabelle,Normal,12.193,2024
Wanla Weyn,5.0369166666666665,09,Lower Shabelle,Normal,4.903,2024
Qoryooley,24.622,08,Lower Shabelle,Normal,22.489,2024
Qoryooley,33.16175,07,Lower Shabelle,Alert,22.489,2024
Qoryooley,34.56041666666667,06,Lower Shabelle,Normal,47.778,2024
Qoryooley,72.8545,05,Lower Shabelle,Normal,60.744,2024
Qoryooley,85.052375,04,Lower Shabelle,Normal,100.208,2024
Qoryooley,7.502791666666667,03,Lower Shabelle,Normal,10.385,2024
Qoryooley,0.5652916666666666,02,Lower Shabelle,Normal,0.533,2024
Qoryooley,0.9635,01,Lower Shabelle,Normal,1.069,2024
Marka,8.339791666666667,09,Lower Shabelle,Alert,6.227,2024
Marka,28.778375,08,Lower Shabelle,Normal,23.93,2024
Marka,36.13225,07,Lower Shabelle,Alert,23.93,2024
Marka,37.725791666666666,06,Lower Shabelle,Normal,49.612,2024
Marka,46.40525,05,Lower Shabelle,Normal,38.164,2024
Marka,51.84866666666667,04,Lower Shabelle,Normal,64.857,2024
Marka,4.081916666666666,03,Lower Shabelle,Normal,5.179,2024
Marka,0.27758333333333335,02,Lower Shabelle,Normal,0.249,2024
Marka,0.9458333333333333,01,Lower Shabelle,Normal,1.045,2024
Kurtunwaarey,12.040208333333334,09,Lower Shabelle,Normal,9.895,2024
Kurtunwaarey,24.048166666666667,08,Lower Shabelle,Normal,27.433,2024
Kurtunwaarey,38.178333333333335,07,Lower Shabelle,Alert,27.433,2024
Kurtunwaarey,39.357875,06,Lower Shabelle,Normal,49.622,2024
Kurtunwaarey,84.62145833333334,05,Lower Shabelle,Alert,65.225,2024
Kurtunwaarey,96.46595833333333,04,Lower Shabelle,Normal,103.066,2024
Kurtunwaarey,10.082125,03,Lower Shabelle,Normal,10.86,2024
Kurtunwaarey,0.7255,02,Lower Shabelle,Normal,0.678,2024
Kurtunwaarey,0.8582083333333334,01,Lower Shabelle,Normal,0.84,2024
Baraawe,12.575416666666667,09,Lower Shabelle,Alert,9.374,2024
Baraawe,29.813958333333332,08,Lower Shabelle,Normal,37.284,2024
Baraawe,41.404,07,Lower Shabelle,Normal,37.284,2024
Baraawe,56.80316666666667,06,Lower Shabelle,Normal,77.646,2024
Baraawe,82.99758333333334,05,Lower Shabelle,Normal,76.541,2024
Baraawe,77.72691666666667,04,Lower Shabelle,Normal,92.52,2024
Baraawe,4.326375,03,Lower Shabelle,Alert,3.081,2024
Baraawe,0.4036666666666667,02,Lower Shabelle,Normal,0.418,2024
Baraawe,0.425625,01,Lower Shabelle,Normal,0.469,2024
Afgooye,6.272708333333333,09,Lower Shabelle,Normal,5.45,2024
Afgooye,12.918375,08,Lower Shabelle,Normal,18.7,2024
Afgooye,28.966291666666667,07,Lower Shabelle,Alert,18.7,2024
Afgooye,30.081583333333334,06,Lower Shabelle,Normal,34.561,2024
Afgooye,64.68733333333333,05,Lower Shabelle,Normal,80.491,2024
Afgooye,72.53758333333333,04,Lower Shabelle,Normal,91.924,2024
Afgooye,6.557166666666666,03,Lower Shabelle,Normal,7.958,2024
Afgooye,0.8055,02,Lower Shabelle,Normal,0.736,2024
Afgooye,1.3696666666666668,01,Lower Shabelle,Normal,1.403,2024
Qansax Dheere,4.742916666666667,09,Bay,Alert,3.497,2024
Qansax Dheere,9.505666666666666,08,Bay,Normal,14.849,2024
Qansax Dheere,15.000583333333333,07,Bay,Normal,14.849,2024
Qansax Dheere,7.480708333333333,06,Bay,Normal,7.705,2024
Qansax Dheere,47.42066666666667,05,Bay,Normal,38.767,2024
Qansax Dheere,135.441375,04,Bay,Normal,154.1,2024
Qansax Dheere,31.015125,03,Bay,Alert,17.116,2024
Qansax Dheere,1.7055416666666667,02,Bay,Alert,1.305,2024
Qansax Dheere,1.2495833333333333,01,Bay,Normal,1.444,2024
Diinsoor,10.502083333333333,09,Bay,Normal,8.669,2024
Diinsoor,11.990958333333333,08,Bay,Normal,21.685,2024
Diinsoor,23.336333333333332,07,Bay,Normal,21.685,2024
Diinsoor,20.421166666666668,06,Bay,Normal,21.454,2024
Diinsoor,85.290375,05,Bay,Alert,54.358,2024
Diinsoor,126.25741666666667,04,Bay,Normal,159.577,2024
Diinsoor,24.754541666666668,03,Bay,Normal,19.804,2024
Diinsoor,1.7899583333333333,02,Bay,Alert,1.354,2024
Diinsoor,1.1370833333333332,01,Bay,Normal,1.071,2024
Buur Hakaba,9.624375,09,Bay,Normal,7.935,2024
Buur Hakaba,15.800666666666666,08,Bay,Normal,21.715,2024
Buur Hakaba,26.594208333333334,07,Bay,Normal,21.715,2024
Buur Hakaba,23.096625,06,Bay,Normal,20.257,2024
Buur Hakaba,84.04983333333334,05,Bay,Normal,76.84,2024
Buur Hakaba,123.55329166666667,04,Bay,Normal,147.135,2024
Buur Hakaba,13.893708333333333,03,Bay,Alert,9.347,2024
Buur Hakaba,1.3125,02,Bay,Normal,1.159,2024
Buur Hakaba,0.9489583333333333,01,Bay,Normal,1.021,2024
Baydhaba,7.334208333333334,09,Bay,Normal,6.208,2024
Baydhaba,14.981416666666666,08,Bay,Normal,22.88,2024
Baydhaba,22.523416666666666,07,Bay,Normal,22.88,2024
Baydhaba,11.44025,06,Bay,Normal,11.873,2024
Baydhaba,65.44441666666667,05,Bay,Normal,89.776,2024
Baydhaba,138.56620833333332,04,Bay,Normal,162.748,2024
Baydhaba,25.55816666666667,03,Bay,Alarm,8.568,2024
Baydhaba,1.3214166666666667,02,Bay,Normal,1.278,2024
Baydhaba,1.2360416666666667,01,Bay,Normal,1.408,2024
Xudur,17.363166666666668,09,Bakool,Alert,13.813,2024
Xudur,9.04975,08,Bakool,Normal,12.878,2024
Xudur,11.701083333333333,07,Bakool,Normal,12.878,2024
Xudur,2.3320833333333333,06,Bakool,Alert,1.267,2024
Xudur,52.686458333333334,05,Bakool,Normal,77.746,2024
Xudur,103.61141666666667,04,Bakool,Normal,126.174,2024
Xudur,12.069416666666667,03,Bakool,Alarm,4.419,2024
Xudur,0.65,02,Bakool,Normal,0.598,2024
Xudur,0.4505416666666667,01,Bakool,Normal,0.462,2024
Waajid,10.525708333333334,09,Bakool,Alert,7.669,2024
Waajid,8.334416666666666,08,Bakool,Normal,13.418,2024
Waajid,11.089666666666666,07,Bakool,Normal,13.418,2024
Waajid,6.586,06,Bakool,Normal,6.52,2024
Waajid,47.83825,05,Bakool,Normal,57.908,2024
Waajid,150.52445833333334,04,Bakool,Normal,172.877,2024
Waajid,24.441541666666666,03,Bakool,Alarm,7.183,2024
Waajid,1.0444583333333333,02,Bakool,Normal,0.859,2024
Waajid,0.6355,01,Bakool,Normal,0.64,2024
Tayeeglow,8.314833333333333,09,Bakool,Alert,6.461,2024
Tayeeglow,17.609625,08,Bakool,Normal,31.465,2024
Tayeeglow,35.049708333333335,07,Bakool,Normal,31.465,2024
Tayeeglow,6.043666666666667,06,Bakool,Normal,4.979,2024
Tayeeglow,55.062416666666664,05,Bakool,Normal,99.022,2024
Tayeeglow,86.17575,04,Bakool,Normal,99.426,2024
Tayeeglow,13.430958333333333,03,Bakool,Alert,5.403,2024
Tayeeglow,0.7557083333333333,02,Bakool,Normal,0.952,2024
Tayeeglow,0.6472916666666667,01,Bakool,Normal,0.693,2024
Rab Dhuure,7.202208333333333,09,Bakool,Alert,5.467,2024
Rab Dhuure,2.42175,08,Bakool,Alert,1.694,2024
Rab Dhuure,3.337625,07,Bakool,Alert,1.694,2024
Rab Dhuure,1.73575,06,Bakool,Alert,0.951,2024
Rab Dhuure,43.468041666666664,05,Bakool,Normal,43.274,2024
Afgooye,0.8055,02,Lower Shabelle,Normal,0.822,2023
Wanla Weyn,1.6720416666666666,01,Lower Shabelle,Normal,2.019,2023
