region,district,value,month,indicator
Lower Shabelle,Marka,0.306,2008-01-01,ndvi
Lower Shabelle,Afgooye,0.341,2008-01-01,ndvi
Lower Shabelle,Baraawe,0.306,2008-01-01,ndvi
Lower Shabelle,Kurtunwaarey,0.471,2008-01-01,ndvi
Lower Shabelle,Qoryooley,0.444,2008-01-01,ndvi
Lower Shabelle,Sablaale,0.515,2008-01-01,ndvi
Lower Shabelle,Wanla Weyn,0.26,2008-01-01,ndvi
Bay,Baydhaba,0.327,2008-01-01,ndvi
Bay,Buur Hakaba,0.344,2008-01-01,ndvi
Bay,Diinsoor,0.403,2008-01-01,ndvi
Bay,Qansax Dheere,0.336,2008-01-01,ndvi
Bakool,Xudur,0.246,2008-01-01,ndvi
Bakool,Ceel Barde,0.234,2008-01-01,ndvi
Bakool,Tayeeglow,0.298,2008-01-01,ndvi
Bakool,Waajid,0.248,2008-01-01,ndvi
Bakool,Rab Dhuure,0.163,2008-01-01,ndvi
Lower Shabelle,Marka,0.278,2008-02-01,ndvi
Lower Shabelle,Afgooye,0.275,2008-02-01,ndvi
Lower Shabelle,Baraawe,0.268,2008-02-01,ndvi
Lower Shabelle,Kurtunwaarey,0.382,2008-02-01,ndvi
Lower Shabelle,Qoryooley,0.353,2008-02-01,ndvi
Lower Shabelle,Sablaale,0.412,2008-02-01,ndvi
Lower Shabelle,Wanla Weyn,0.227,2008-02-01,ndvi
Bay,Baydhaba,0.285,2008-02-01,ndvi
Bay,Buur Hakaba,0.294,2008-02-01,ndvi
Bay,Diinsoor,0.325,2008-02-01,ndvi
Bay,Qansax Dheere,0.267,2008-02-01,ndvi
Bakool,Xudur,0.222,2008-02-01,ndvi
Bakool,Ceel Barde,0.213,2008-02-01,ndvi
Bakool,Tayeeglow,0.263,2008-02-01,ndvi
Bakool,Waajid,0.225,2008-02-01,ndvi
Bakool,Rab Dhuure,0.156,2008-02-01,ndvi
Lower Shabelle,Marka,0.266,2008-03-01,ndvi
Lower Shabelle,Afgooye,0.25,2008-03-01,ndvi
Lower Shabelle,Baraawe,0.252,2008-03-01,ndvi
Lower Shabelle,Kurtunwaarey,0.348,2008-03-01,ndvi
Lower Shabelle,Qoryooley,0.318,2008-03-01,ndvi
Lower Shabelle,Sablaale,0.367,2008-03-01,ndvi
Lower Shabelle,Wanla Weyn,0.219,2008-03-01,ndvi
Bay,Baydhaba,0.273,2008-03-01,ndvi
Bay,Buur Hakaba,0.28,2008-03-01,ndvi
Bay,Diinsoor,0.286,2008-03-01,ndvi
Bay,Qansax Dheere,0.247,2008-03-01,ndvi
Bakool,Xudur,0.213,2008-03-01,ndvi
Bakool,Ceel Barde,0.203,2008-03-01,ndvi
Bakool,Tayeeglow,0.252,2008-03-01,ndvi
Bakool,Waajid,0.223,2008-03-01,ndvi
Bakool,Rab Dhuure,0.151,2008-03-01,ndvi
Lower Shabelle,Marka,0.262,2008-04-01,ndvi
Lower Shabelle,Afgooye,0.242,2008-04-01,ndvi
Lower Shabelle,Baraawe,0.253,2008-04-01,ndvi
Lower Shabelle,Kurtunwaarey,0.365,2008-04-01,ndvi
Lower Shabelle,Qoryooley,0.315,2008-04-01,ndvi
Lower Shabelle,Sablaale,0.436,2008-04-01,ndvi
Lower Shabelle,Wanla Weyn,0.228,2008-04-01,ndvi
Bay,Baydhaba,0.356,2008-04-01,ndvi
Bay,Buur Hakaba,0.314,2008-04-01,ndvi
Bay,Diinsoor,0.385,2008-04-01,ndvi
Bay,Qansax Dheere,0.355,2008-04-01,ndvi
Bakool,Xudur,0.246,2008-04-01,ndvi
Bakool,Ceel Barde,0.247,2008-04-01,ndvi
Bakool,Tayeeglow,0.284,2008-04-01,ndvi
Bakool,Waajid,0.306,2008-04-01,ndvi
Bakool,Rab Dhuure,0.17,2008-04-01,ndvi
Lower Shabelle,Marka,0.284,2008-05-01,ndvi
Lower Shabelle,Afgooye,0.268,2008-05-01,ndvi
Lower Shabelle,Baraawe,0.299,2008-05-01,ndvi
Lower Shabelle,Kurtunwaarey,0.459,2008-05-01,ndvi
Lower Shabelle,Qoryooley,0.375,2008-05-01,ndvi
Lower Shabelle,Sablaale,0.56,2008-05-01,ndvi
Lower Shabelle,Wanla Weyn,0.258,2008-05-01,ndvi
Bay,Baydhaba,0.468,2008-05-01,ndvi
Bay,Buur Hakaba,0.409,2008-05-01,ndvi
Bay,Diinsoor,0.509,2008-05-01,ndvi
Bay,Qansax Dheere,0.457,2008-05-01,ndvi
Bakool,Xudur,0.306,2008-05-01,ndvi
Bakool,Ceel Barde,0.318,2008-05-01,ndvi
Bakool,Tayeeglow,0.397,2008-05-01,ndvi
Bakool,Waajid,0.349,2008-05-01,ndvi
Bakool,Rab Dhuure,0.188,2008-05-01,ndvi
Lower Shabelle,Marka,0.418,2008-06-01,ndvi
Lower Shabelle,Afgooye,0.424,2008-06-01,ndvi
Lower Shabelle,Baraawe,0.464,2008-06-01,ndvi
Lower Shabelle,Kurtunwaarey,0.572,2008-06-01,ndvi
Lower Shabelle,Qoryooley,0.541,2008-06-01,ndvi
Lower Shabelle,Sablaale,0.565,2008-06-01,ndvi
Lower Shabelle,Wanla Weyn,0.339,2008-06-01,ndvi
Bay,Baydhaba,0.416,2008-06-01,ndvi
Bay,Buur Hakaba,0.461,2008-06-01,ndvi
Bay,Diinsoor,0.456,2008-06-01,ndvi
Bay,Qansax Dheere,0.38,2008-06-01,ndvi
Bakool,Xudur,0.25,2008-06-01,ndvi
Bakool,Ceel Barde,0.236,2008-06-01,ndvi
Bakool,Tayeeglow,0.328,2008-06-01,ndvi
Bakool,Waajid,0.267,2008-06-01,ndvi
Bakool,Rab Dhuure,0.164,2008-06-01,ndvi
Lower Shabelle,Marka,0.527,2008-07-01,ndvi
Lower Shabelle,Afgooye,0.51,2008-07-01,ndvi
Lower Shabelle,Baraawe,0.597,2008-07-01,ndvi
Lower Shabelle,Kurtunwaarey,0.632,2008-07-01,ndvi
Lower Shabelle,Qoryooley,0.582,2008-07-01,ndvi
Lower Shabelle,Sablaale,0.594,2008-07-01,ndvi
